time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1701089663383298800,0.047298828125,-0.9289910793304443,-0.2913297116756439,-0.22782082855701447,0.014149249531328678,-0.5360167026519775,-0.5643165111541748,2.9522507190704346
1701089663401998300,0.065998291015625,-0.9264774918556213,-0.29753804206848145,-0.22969165444374084,0.0187709778547287,-0.5468748211860657,-0.5736501812934875,2.9360034465789795
1701089663420697600,0.084697509765625,-0.9256465435028076,-0.2970997393131256,-0.234223410487175,0.007041089702397585,-0.5502045154571533,-0.5784422159194946,2.958792209625244
1701089663439397000,0.103397216796875,-0.9262721538543701,-0.2955266535282135,-0.2338435798883438,0.001041885931044817,-0.5447667241096497,-0.5787631869316101,2.9733924865722656
1701089663458096400,0.122096435546875,-0.9273618459701538,-0.2933351695537567,-0.23227989673614502,0.0007513653254136443,-0.5396585464477539,-0.5748473405838013,2.9768192768096924
1701089663476796000,0.1407958984375,-0.9282435774803162,-0.29112523794174194,-0.23150180280208588,0.004108835011720657,-0.5385763645172119,-0.5687364339828491,2.9717493057250977
1701089663495495200,0.1594951171875,-0.9289196133613586,-0.2894521653652191,-0.23072625696659088,0.00954916886985302,-0.5390012860298157,-0.5625548958778381,2.961750030517578
1701089663514194700,0.178194580078125,-0.9292658567428589,-0.28814420104026794,-0.23076941072940826,0.013542787171900272,-0.5406567454338074,-0.5577453970909119,2.9540860652923584
1701089663532894000,0.19689404296875,-0.9291369915008545,-0.287229984998703,-0.23239552974700928,0.013990224339067936,-0.5441552996635437,-0.5553603172302246,2.9527618885040283
1701089663551593500,0.215593505859375,-0.9286770820617676,-0.28681427240371704,-0.23473027348518372,0.01407628320157528,-0.5493782162666321,-0.5540168285369873,2.9513728618621826
1701089663570292700,0.234292724609375,-0.9277159571647644,-0.2870008647441864,-0.2381845861673355,0.015546766109764576,-0.5583361387252808,-0.5528379678726196,2.9458000659942627
1701089663588992300,0.2529921875,-0.9261125326156616,-0.28876036405563354,-0.2422133982181549,0.016299646347761154,-0.5691853165626526,-0.5550116300582886,2.9401206970214844
1701089663607691800,0.27169189453125,-0.9237992167472839,-0.2926512360572815,-0.24630266427993774,0.01689065434038639,-0.5814833641052246,-0.561411440372467,2.932913303375244
1701089663626391000,0.29039111328125,-0.9204294681549072,-0.29771164059638977,-0.25290071964263916,0.014786365441977978,-0.5990269184112549,-0.57110995054245,2.9286446571350098
1701089663645090300,0.30909033203125,-0.9162365198135376,-0.3061838150024414,-0.2575753629207611,0.020422175526618958,-0.6192018389701843,-0.583026647567749,2.9056360721588135
1701089663663789800,0.327789794921875,-0.9105935096740723,-0.31590840220451355,-0.2651873826980591,0.026401367038488388,-0.6481607556343079,-0.5959867835044861,2.8779985904693604
1701089663682489300,0.3464892578125,-0.9040417075157166,-0.32605352997779846,-0.27456390857696533,0.03181677311658859,-0.682258665561676,-0.6090157628059387,2.8490073680877686
1701089663701188600,0.365188720703125,-0.8969024419784546,-0.3339465856552124,-0.28841373324394226,0.029380057007074356,-0.7213387489318848,-0.6212939620018005,2.8351025581359863
1701089663719888100,0.38388818359375,-0.8885400295257568,-0.34090960025787354,-0.3064398169517517,0.019285282120108604,-0.7660300135612488,-0.6360270977020264,2.834463119506836
1701089663738587400,0.40258740234375,-0.8796367049217224,-0.34649044275283813,-0.32572853565216064,0.009195520542562008,-0.813539981842041,-0.6479848027229309,2.83333420753479
1701089663757287000,0.421286865234375,-0.8705672025680542,-0.3518546521663666,-0.3439583480358124,0.001927881850861013,-0.860927402973175,-0.6577022671699524,2.8263070583343506
1701089663775986200,0.439986083984375,0.8596538305282593,0.3598965108394623,0.3624822199344635,0.008739953860640526,-0.9114422798156738,-0.6752710938453674,2.8211140632629395
1701089663794685700,0.458685791015625,0.8479481935501099,0.3694617450237274,0.3796519339084625,0.018610071390867233,-0.9625717997550964,-0.6954090595245361,2.8113510608673096
1701089663813385200,0.47738525390625,0.833806574344635,0.37696728110313416,0.4020344316959381,0.032102037221193314,-1.024948000907898,-0.713452160358429,2.8052070140838623
1701089663832084500,0.49608447265625,0.8166946768760681,0.3814370036125183,0.42990392446517944,0.05194508284330368,-1.0974280834197998,-0.7311120629310608,2.808910846710205
1701089663850783700,0.51478369140625,0.8000468611717224,0.3835426867008209,0.4552234411239624,0.07477739453315735,-1.1611993312835693,-0.7502000331878662,2.8224241733551025
1701089663869483300,0.533483154296875,0.7869356274604797,0.38512808084487915,0.4722976088523865,0.09666243940591812,-1.2036734819412231,-0.7718314528465271,2.841773748397827
1701089663888182800,0.552182861328125,0.7762635946273804,0.38586604595184326,0.48518335819244385,0.11453967541456223,-1.2358567714691162,-0.789800763130188,2.8585541248321533
1701089663906882000,0.570882080078125,0.7619010806083679,0.38014355301856995,0.5065426230430603,0.1356915831565857,-1.283186674118042,-0.799102783203125,2.8829641342163086
1701089663925581600,0.58958154296875,0.7433944940567017,0.3713434636592865,0.5335825085639954,0.1573479175567627,-1.3458504676818848,-0.8038391470909119,2.9054651260375977
1701089663944280800,0.60828076171875,0.7268949747085571,0.3643878400325775,0.5543462634086609,0.1776103675365448,-1.3954542875289917,-0.8134456276893616,2.927759885787964
1701089663962980400,0.62698046875,0.7146878838539124,0.3638986647129059,0.5648075938224792,0.19439998269081116,-1.425926685333252,-0.8326914310455322,2.942331314086914
1701089663981679600,0.6456796875,0.7026340961456299,0.36670050024986267,0.5724501609802246,0.21008779108524323,-1.4549779891967773,-0.8569393754005432,2.950115442276001
