time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1675156293749251300,-0.608748779296875,0,0.04467753320932388,3,4,5.1275533200010646e-17,0,59.93227452484313,18.1227186,59.2863674
1675156294748174600,0.390174560546875,0,0.045657213777303696,2.9570538997650146,4,4.177608847505572e-17,0,58.400001525878906,18.1227186,59.2863674
1675156295772013600,1.414013671875,0,0.04218447580933571,2.8593497276306152,4.879000186920166,1.918804911238848e-15,0,58.400001525878906,18.1227186,59.2863674
1675156296746619000,2.388618896484375,0,0.04183667525649071,3.0511510372161865,4.752999782562256,1.3697737058241264e-17,0,58.400001525878906,18.1227186,59.2863674
1675156297753671000,3.3956708984375,0,0.03054945357143879,3.047522783279419,4.752999782562256,2.5097338072961153e-18,0,58.400001525878906,18.1227186,59.2863674
1675156298742812400,4.3848125,0,0.1970326453447342,4.896045684814453,4.752999782562256,2.949267144560252e-17,0,58.400001525878906,18.1227186,59.2863674
1675156299751850800,5.393850830078125,46.663875579833984,0.03265850618481636,4.789088249206543,4.879000186920166,0.582865297794342,192.92250061035156,58.400001525878906,18.1227138,59.2863667
1675156300743439400,6.385439453125,0,0.12750490009784698,4.991056442260742,4,0.010408123955130577,0,58.13524321076778,18.1227101,59.2863637
1675156301755141400,7.397141357421875,0,0.06673829257488251,5.274282455444336,4.767000198364258,0.0000391423782275524,0,58.400001525878906,18.1227087,59.2863652
1675156302754037500,8.39603759765625,0,0.03805454447865486,5.180091381072998,4.767000198364258,2.3283003969254423e-8,0,58.400001525878906,18.1227084,59.2863656
1675156303754884600,9.396884521484376,0,0.1678391695022583,3.2453551292419434,5.052000045776367,1.0378158776802593e-7,0,58.400001525878906,18.1227082,59.2863658
1675156304741936600,10.3839365234375,0,0.039993807673454285,3.379075527191162,5.171000003814697,6.991464829297911e-8,0,58.400001525878906,18.1227081,59.2863659
1675156305756347600,11.39834765625,0,0.039036497473716736,3.3259763717651367,5.624000072479248,2.6206827818953116e-9,0,58.400001525878906,18.122708,59.286366
1675156306759954400,12.401954345703125,83.68304443359375,0.04112996533513069,3.196113348007202,6.138000011444092,0.6002028584480286,351.6105651855469,58.400001525878906,18.1227072,59.2863671
1675156307752831500,13.39483154296875,16.64781951904297,0.14737722277641296,3.321570634841919,6.103000164031982,1.9799953699111938,349.3487548828125,58.400001525878906,18.1227025,59.2863762
1675156308748120300,14.390120361328124,0,0,3.364407539367676,7.116000175476074,1.8538233041763306,355.00518798828125,58.400001525878906,18.1226968,59.2863955
1675156309850066400,15.49206640625,0,0,3.407924175262451,8.538999557495117,2.20280122756958,340.3539733886719,58.400001525878906,18.1226822,59.2864207
1675156310950071000,16.592071044921877,0,0,5.646336078643799,9.10099983215332,2.3894176483154297,335.5826416015625,58.400001525878906,18.1226628,59.2864401
1675156312050072600,17.692072509765627,0,0,6.087862014770508,9.590999603271484,2.5129895210266113,331.811767578125,58.400001525878906,18.122636,59.2864683
1675156313130071600,18.772071533203125,0,0,5.805248737335205,10.442999839782715,2.6182937622070312,323.84234619140625,58.400001525878906,18.1225967,59.2864947
1675156314210073900,19.852073974609375,0,0,6.207944393157959,10.385000228881836,2.719562530517578,321.24774169921875,58.400001525878906,18.122574,59.2865094
1675156315229907500,20.871907470703125,0,0,6.201871395111084,10.288000106811523,2.7300891876220703,317.9522705078125,58.400001525878906,18.1225403,59.2865301
1675156316329907500,21.971907470703126,0,0,5.48010778427124,10.149999618530273,2.6786513328552246,318.02777099609375,58.400001525878906,18.1225087,59.286548
1675156317449907500,23.091907470703124,0,0,4.725919246673584,10.144000053405762,2.3612546920776367,311.3400573730469,58.400001525878906,18.122478,59.2865616
1675156318569906700,24.21190673828125,0,0,4.2954535484313965,10.232000350952148,2.117976188659668,303.24371337890625,58.400001525878906,18.1224474,59.28657
1675156319692000000,25.334,0,0,4.643739700317383,10.282999992370605,2.058553695678711,295.2317810058594,58.400001525878906,18.1224122,59.2865766
1675156320869901000,26.511901123046876,0,0,4.214231491088867,10.52299976348877,2.0490033626556396,288.628173828125,58.400001525878906,18.1223658,59.2865823
1675156322009904400,27.651904296875,0,0,4.378615856170654,10.718999862670898,2.0482301712036133,283.057861328125,58.400001525878906,18.1223288,59.286584
1675156323109906400,28.751906494140623,0,0,3.98854660987854,10.565999984741211,2.066692352294922,275.7170715332031,58.400001525878906,18.1222871,59.2865853
1675156324209907000,29.851906982421873,0,0,4.501976490020752,10.515000343322754,2.100555419921875,268.06829833984375,58.400001525878906,18.1222437,59.286585
1675156325269385000,30.911385009765624,0,0,6.448678970336914,10.541000366210938,2.0868430137634277,264.44097900390625,58.400001525878906,18.1221868,59.2865835
1675156326309385000,31.951385009765627,0,0,6.448678970336914,10.37600040435791,2.001746654510498,262.3404541015625,58.400001525878906,18.1221601,59.2865815
1675156327389385000,33.03138500976563,0,0,6.139817237854004,10.348999977111816,2.0292797088623047,258.20623779296875,58.400001525878906,18.1221215,59.2865775
1675156328429385000,34.07138500976563,0,0,6.208866596221924,10.451000213623047,2.4030723571777344,255.81988525390625,58.400001525878906,18.1220695,59.2865718
1675156329529385000,35.17138500976562,0,0,6.315083980560303,10.430000305175781,2.6617984771728516,253.03414916992188,58.400001525878906,18.122007,59.2865636
1675156330608382700,36.2503828125,0,0,4.328688621520996,10.397000312805176,2.520338296890259,245.70614624023438,58.400001525878906,18.1219591,59.2865559
1675156331751112200,37.3931123046875,0,0,4.287956714630127,10.371000289916992,2.4429941177368164,242.62539672851562,58.400001525878906,18.1219106,59.2865475
