time,seconds_elapsed,z,y,x
1675156294409684200,0.051684326171875,9.924264907836914,2.3319525718688965,-0.6967126727104187
1675156294429684200,0.071684326171875,9.708786964416504,2.4013843536376953,-0.569819986820221
1675156294449684200,0.091684326171875,9.814131736755371,2.5282769203186035,-0.6607996821403503
1675156294469684200,0.111684326171875,9.818920135498047,2.410961151123047,-0.5602431893348694
1675156294489684200,0.131684326171875,9.76864242553711,2.3487119674682617,-0.45010992884635925
1675156294509684200,0.151684326171875,9.62259578704834,2.387019157409668,-0.33997663855552673
1675156294529684200,0.171684326171875,9.608230590820312,2.365471363067627,-0.3256114423274994
1675156294549684200,0.191684326171875,9.907505989074707,2.4157495498657227,-0.5841852426528931
1675156294569684200,0.211684326171875,9.890746116638184,2.410961151123047,-0.6512228846549988
1675156294589684200,0.231684326171875,9.68005657196045,2.3774423599243164,-0.5339069962501526
1675156294609684200,0.251684326171875,9.720758438110352,2.408566951751709,-0.5027823448181152
1675156294629684200,0.271684326171875,9.761459350585938,2.2649147510528564,-0.5195417404174805
1675156294649683500,0.291683349609375,9.696816444396973,2.293645143508911,-0.43335050344467163
1675156294669683000,0.311682861328125,9.799766540527344,2.2361843585968018,-0.4165911078453064
1675156294689682000,0.331681884765625,9.996091842651367,2.0805611610412598,-0.5315127968788147
1675156294709681400,0.351681396484375,10.043975830078125,2.1140801906585693,-0.545877993106842
1675156294729681400,0.371681396484375,9.933841705322266,2.2409727573394775,-0.48602294921875
1675156294749680600,0.3916806640625,9.742305755615234,2.2577321529388428,-0.4165911078453064
1675156294769680600,0.4116806640625,9.730335235595703,2.319981336593628,-0.44532153010368347
1675156294789680600,0.4316806640625,9.952995300292969,2.604891538619995,-0.6153098344802856
1675156294809680600,0.4516806640625,10.041581153869629,2.4013843536376953,-0.5746083855628967
1675156294829680600,0.4716806640625,9.885957717895508,2.1475989818573,-0.2801215946674347
1675156294849680600,0.4916806640625,9.610625267028809,2.1547815799713135,-0.10295066982507706
1675156294869680600,0.5116806640625,9.699210166931152,2.4899697303771973,-0.36152446269989014
1675156294889680600,0.5316806640625,9.773430824279785,2.5905263423919678,-0.2849099934101105
1675156294909680600,0.5516806640625,9.823708534240723,2.3726539611816406,-0.30885201692581177
1675156294929680600,0.5716806640625,9.488520622253418,2.123656988143921,-0.10534487664699554
1675156294949680600,0.5916806640625,9.38556957244873,2.2218191623687744,-0.07661445438861847
1675156294969680600,0.6116806640625,9.543587684631348,2.3774423599243164,-0.3734954595565796
1675156294989680600,0.6316806640625,9.517251014709473,2.346317768096924,-0.3902548849582672
1675156295009680600,0.6516806640625,9.392752647399902,2.408566951751709,-0.608127236366272
1675156295029680600,0.6716806640625,9.340080261230469,2.5665841102600098,-0.43095630407333374
1675156295049680600,0.6916806640625,9.567529678344727,2.470816135406494,-0.40940847992897034
1675156295069680600,0.7116806640625,9.74470043182373,2.33913516998291,-0.3734954595565796
1675156295089680600,0.7316806640625,9.591471672058105,2.233790159225464,-0.28969839215278625
1675156295109680600,0.7516806640625,9.536404609680176,2.4181437492370605,-0.2106897532939911
1675156295129680600,0.7716806640625,9.58907699584961,2.4396915435791016,-0.22744916379451752
1675156295149680600,0.7916806640625,9.708786964416504,2.315192937850952,-0.14844051003456116
1675156295169680600,0.8116806640625,9.636960983276367,2.3558945655822754,-0.181959331035614
1675156295189680600,0.8316806640625,9.706393241882324,2.5689783096313477,-0.3998316824436188
1675156295209680600,0.8516806640625,9.787796020507812,2.557007312774658,-0.4620809257030487
1675156295229680600,0.8716806640625,9.660902976989746,2.691082715988159,-0.2968810200691223
1675156295249681200,0.89168115234375,9.76864242553711,2.3989901542663574,-0.27054479718208313
1675156295269682000,0.911681884765625,10.14213752746582,2.5785553455352783,-0.6991068720817566
1675156295289682700,0.9316826171875,9.957783699035645,2.5713725090026855,-0.6129156351089478
1675156295309683500,0.951683349609375,9.634567260742188,2.4612393379211426,-0.33279404044151306
1675156295329683500,0.971683349609375,9.665691375732422,2.4372973442077637,-0.33279404044151306
1675156295349684200,0.991684326171875,9.727940559387207,2.427720546722412,-0.3878606855869293
1675156295369684200,1.011684326171875,9.723152160644531,2.3295583724975586,-0.4141969084739685
1675156295389684200,1.031684326171875,9.761459350585938,2.3127987384796143,-0.44771572947502136
1675156295409684200,1.051684326171875,9.878775596618652,2.252943754196167,-0.4213795065879822
1675156295429684200,1.071684326171875,9.74709415435791,2.169146776199341,-0.29209262132644653
1675156295449684200,1.091684326171875,9.627384185791016,2.2697031497955322,-0.19871874153614044
1675156295469684200,1.111684326171875,9.636960983276367,2.4013843536376953,-0.272938996553421
1675156295489684200,1.131684326171875,9.708786964416504,2.343923568725586,-0.29209262132644653
1675156295509684200,1.151684326171875,9.799766540527344,2.2625205516815186,-0.3208230137825012
1675156295529684200,1.171684326171875,9.773430824279785,2.3487119674682617,-0.38307225704193115
1675156295549684200,1.191684326171875,9.809343338012695,2.3343467712402344,-0.4596867263317108
1675156295569684200,1.211684326171875,9.830891609191895,2.33913516998291,-0.4213795065879822
1675156295589684200,1.231684326171875,9.921871185302734,2.33913516998291,-0.4429273009300232
1675156295609684200,1.251684326171875,9.890746116638184,2.4157495498657227,-0.4357447028160095
1675156295629684200,1.271684326171875,9.773430824279785,2.4229321479797363,-0.4381389021873474
1675156295649683500,1.291683349609375,9.62259578704834,2.427720546722412,-0.3687070608139038
1675156295669683000,1.311682861328125,9.632172584533691,2.406172752380371,-0.3663128614425659
1675156295689682000,1.331681884765625,9.632172584533691,2.3319525718688965,-0.38307225704193115
