time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1676383044827350000,0.06935009765625,0.43769800662994385,0.4467499852180481,0.5192049741744995,0.5824589729309082,0.8185821175575256,-1.4803701639175415,-0.5343087911605835
1676383044837348900,0.079348876953125,0.4321860074996948,0.44238701462745667,0.5235289931297302,0.5860249996185303,0.8293075561523438,-1.4812016487121582,-0.5057114958763123
1676383044847323000,0.089322998046875,0.4266529977321625,0.4379729926586151,0.5278090238571167,0.5895439982414246,0.8398997783660889,-1.4819778203964233,-0.47720783948898315
1676383044857323500,0.099323486328125,0.4252150058746338,0.4372279942035675,0.5290160179138184,0.5900539755821228,0.850913405418396,-1.4827661514282227,-0.46226465702056885
1676383044867323600,0.10932373046875,0.4255659878253937,0.4365580081939697,0.5293170213699341,0.5900279879570007,0.835411787033081,-1.4835014343261719,-0.4771859347820282
1676383044877323800,0.11932373046875,0.4263400137424469,0.43592700362205505,0.5292590260505676,0.5899869799613953,0.8129881620407104,-1.4837993383407593,-0.4998427927494049
1676383044887323600,0.12932373046875,0.4272499978542328,0.43524301052093506,0.5288540124893188,0.5901970267295837,0.7861957550048828,-1.4832617044448853,-0.52705979347229
1676383044897323800,0.13932373046875,0.4279789924621582,0.43443500995635986,0.5281820297241211,0.5908660292625427,0.7592189311981201,-1.4816350936889648,-0.5539589524269104
1676383044907324000,0.149323974609375,0.42833200097084045,0.43351200222969055,0.5273540019989014,0.5920259952545166,0.7360461354255676,-1.4789892435073853,-0.5761966705322266
1676383044917324000,0.159323974609375,0.42826300859451294,0.4324820041656494,0.5265510082244873,0.5935419797897339,0.7180914282798767,-1.4758116006851196,-0.5923025608062744
1676383044927324000,0.169323974609375,0.42770901322364807,0.4312869906425476,0.5259929895401001,0.5953029990196228,0.7052720189094543,-1.4725843667984009,-0.6021198034286499
1676383044937324000,0.179323974609375,0.4269390106201172,0.43000298738479614,0.5256490111351013,0.5970860123634338,0.6947876811027527,-1.4696141481399536,-0.609060525894165
1676383044947324000,0.189323974609375,0.42609599232673645,0.42861101031303406,0.5254340171813965,0.5988759994506836,0.6842236518859863,-1.4668121337890625,-0.6157611608505249
1676383044957324000,0.199323974609375,0.425368994474411,0.4271489977836609,0.5252100229263306,0.6006309986114502,0.6716967821121216,-1.4640380144119263,-0.6245040893554688
1676383044967324000,0.209323974609375,0.42482998967170715,0.425680011510849,0.5249680280685425,0.6022650003433228,0.6573705077171326,-1.46140718460083,-0.6353780031204224
1676383044977324000,0.219323974609375,0.4248790144920349,0.42433100938796997,0.5245280265808105,0.6035640239715576,0.6383375525474548,-1.4589450359344482,-0.6522040963172913
1676383044987324200,0.22932421875,0.42624199390411377,0.42325499653816223,0.523563027381897,0.6041960120201111,0.608548104763031,-1.4566069841384888,-0.6826016902923584
1676383044997324000,0.239323974609375,0.4293160140514374,0.42256900668144226,0.5219029784202576,0.6039360165596008,0.5656832456588745,-1.454311490058899,-0.7298067212104797
1676383045007324000,0.249323974609375,0.4339900016784668,0.4223560094833374,0.5195080041885376,0.6028090119361877,0.5130120515823364,-1.4517706632614136,-0.7905391454696655
1676383045017324000,0.259323974609375,0.4397040009498596,0.42249101400375366,0.5165590047836304,0.6011040210723877,0.45621445775032043,-1.448682427406311,-0.8579087853431702
1676383045027324000,0.269323974609375,0.44530099630355835,0.42254000902175903,0.5136979818344116,0.5993989706039429,0.4026169776916504,-1.4452950954437256,-0.9217962026596069
1676383045037324000,0.279323974609375,0.44995999336242676,0.4222230017185211,0.511551022529602,0.5979779958724976,0.3556472063064575,-1.4423290491104126,-0.9767336845397949
1676383045047323000,0.289322998046875,0.4532800018787384,0.4213689863681793,0.5105069875717163,0.5969640016555786,0.3148827850818634,-1.440356969833374,-1.0220448970794678
1676383045057322800,0.29932275390625,0.4550260007381439,0.4196999967098236,0.5108309984207153,0.5965350270271301,0.2775924503803253,-1.4395993947982788,-1.0595228672027588
1676383045067323000,0.309322998046875,0.4549719989299774,0.41693100333213806,0.5126910209655762,0.5969210267066956,0.2417907416820526,-1.4399818181991577,-1.0902009010314941
1676383045077322800,0.31932275390625,0.4531390070915222,0.41298699378967285,0.5161190032958984,0.5981019735336304,0.20534341037273407,-1.4415913820266724,-1.1161774396896362
1676383045087323000,0.329322998046875,0.44547998905181885,0.403999000787735,0.5238630175590515,0.6032389998435974,0.16429650783538818,-1.444031834602356,-1.1273908615112305
1676383045097322800,0.33932275390625,0.43628498911857605,0.3931950032711029,0.5329369902610779,0.6091219782829285,0.11342066526412964,-1.4469226598739624,-1.1428874731063843
1676383045107323000,0.349322998046875,0.42604899406433105,0.3804909884929657,0.5432080030441284,0.6153299808502197,0.04476150870323181,-1.4500577449798584,-1.171517252922058
1676383045117323000,0.359322998046875,0.415473997592926,0.366210013628006,0.5543720126152039,0.6212409734725952,-0.0481593981385231,-1.4532444477081299,-1.2217165231704712
1676383045127323000,0.369322998046875,0.40561699867248535,0.351267009973526,0.5657200217247009,0.626134991645813,-0.16680562496185303,-1.4557890892028809,-1.2983739376068115
1676383045137323000,0.379322998046875,0.40058401226997375,0.3399389982223511,0.5744100213050842,0.627714991569519,-0.2976117730140686,-1.4565399885177612,-1.4018254280090332
1676383045147323100,0.3893232421875,0.3968549966812134,0.32938700914382935,0.5825690031051636,0.6281899809837341,-0.4359380900859833,-1.4555442333221436,-1.5165127515792847
1676383045157322200,0.399322265625,0.39359599351882935,0.31990599632263184,0.5900629758834839,0.6281440258026123,-0.5639684200286865,-1.4533960819244385,-1.6236305236816406
