time,seconds_elapsed,z,y,x
1676383044827350000,0.06935009765625,7.868492126464844,-5.215206146240234,1.3503209352493286
1676383044837348900,0.079348876953125,7.8808393478393555,-5.215939521789551,1.3508975505828857
1676383044847323000,0.089322998046875,7.892878532409668,-5.216617584228516,1.3513901233673096
1676383044857323500,0.099323486328125,7.905108451843262,-5.2173004150390625,1.3519692420959473
1676383044867323600,0.10932373046875,7.899874687194824,-5.217930793762207,1.3378387689590454
1676383044877323800,0.11932373046875,7.887872695922852,-5.2181854248046875,1.3226354122161865
1676383044887323600,0.12932373046875,7.8677802085876465,-5.21772575378418,1.3104609251022339
1676383044897323800,0.13932373046875,7.840066432952881,-5.216318130493164,1.3048875331878662
1676383044907324000,0.149323974609375,7.807211399078369,-5.2139739990234375,1.3073532581329346
1676383044917324000,0.159323974609375,7.773118495941162,-5.211068153381348,1.3157107830047607
1676383044927324000,0.169323974609375,7.741353988647461,-5.208015441894531,1.3270981311798096
1676383044937324000,0.179323974609375,7.712568759918213,-5.205116271972656,1.3379676342010498
1676383044947324000,0.189323974609375,7.684695243835449,-5.202301979064941,1.347201943397522
1676383044957324000,0.199323974609375,7.655540466308594,-5.199440956115723,1.3540931940078735
1676383044967324000,0.209323974609375,7.6259846687316895,-5.196658134460449,1.357999324798584
1676383044977324000,0.219323974609375,7.594437599182129,-5.193992614746094,1.3560373783111572
1676383044987324200,0.22932421875,7.556713104248047,-5.191407203674316,1.3425915241241455
1676383044997324000,0.239323974609375,7.511293411254883,-5.188816070556641,1.3147189617156982
1676383045007324000,0.249323974609375,7.458845615386963,-5.18588924407959,1.2754021883010864
1676383045017324000,0.259323974609375,7.401156425476074,-5.182246208190918,1.2300807237625122
1676383045027324000,0.269323974609375,7.344156742095947,-5.178144454956055,1.1848100423812866
1676383045037324000,0.279323974609375,7.295732021331787,-5.174460411071777,1.1413222551345825
1676383045047323000,0.289322998046875,7.2606730461120605,-5.171963691711426,1.0988976955413818
1676383045057322800,0.29932275390625,4.756844520568848,-1.2226572036743164,0.20311522483825684
1676383045067323000,0.309322998046875,4.621854782104492,-1.0627355575561523,-0.17018795013427734
1676383045077322800,0.31932275390625,4.887795448303223,-0.8947925567626953,-0.1326403021812439
1676383045087323000,0.329322998046875,5.045383453369141,-0.6871585845947266,0.20993424952030182
1676383045097322800,0.33932275390625,4.8370866775512695,-0.5781736373901367,0.9008727073669434
1676383045107323000,0.349322998046875,4.28409481048584,-0.4550323486328125,1.7694863080978394
1676383045117323000,0.359322998046875,1.9830236434936523,-0.4467754364013672,2.065904378890991
1676383045127323000,0.369322998046875,3.0012741088867188,-1.0721635818481445,2.8346641063690186
1676383045137323000,0.379322998046875,2.843306541442871,-1.2429943084716797,2.715200662612915
1676383045147323100,0.3893232421875,3.0407629013061523,-1.514815330505371,2.3178653717041016
1676383045157322200,0.399322265625,3.295886754989624,-2.1037378311157227,2.0987462997436523
1676383045167321300,0.4093212890625,3.083425998687744,-2.251976490020752,2.1701207160949707
1676383045177320400,0.419320556640625,2.547513484954834,-1.8526554107666016,2.3769211769104004
1676383045187319600,0.429319580078125,1.9807326793670654,-1.6028366088867188,2.5664563179016113
1676383045197318700,0.439318603515625,1.6826999187469482,-1.4592132568359375,2.595649242401123
1676383045207317800,0.44931787109375,1.6268048286437988,-1.3637962341308594,2.543856143951416
1676383045217316900,0.45931689453125,1.7956515550613403,-1.2608718872070312,2.374330520629883
1676383045227316000,0.46931591796875,2.337923526763916,-1.0781631469726562,2.124314546585083
1676383045237315000,0.479315185546875,3.05825138092041,-0.8224029541015625,1.8420830965042114
1676383045247314200,0.489314208984375,3.2725210189819336,-0.727198600769043,2.1577324867248535
1676383045257313300,0.499313232421875,2.97273588180542,-0.8403654098510742,2.971573829650879
1676383045267313400,0.5093134765625,2.6559534072875977,-1.3221044540405273,3.2832188606262207
1676383045277313300,0.519313232421875,2.828968048095703,-1.8257899284362793,2.7772722244262695
1676383045287313200,0.529313232421875,3.158548355102539,-2.187551498413086,2.21921443939209
1676383045297313300,0.539313232421875,3.6854143142700195,-2.2585268020629883,1.77870512008667
1676383045307313400,0.5493134765625,3.891627788543701,-1.9803051948547363,1.8170123100280762
1676383045317313300,0.559313232421875,3.994429111480713,-1.7008671760559082,2.1758267879486084
1676383045327313400,0.5693134765625,4.033063888549805,-1.400181770324707,2.333850622177124
1676383045337313300,0.579313232421875,4.051809310913086,-1.3665542602539062,2.288577079772949
1676383045347314200,0.589314208984375,3.523319721221924,-1.2290239334106445,2.616621494293213
1676383045357314300,0.599314208984375,3.207456111907959,-1.1906795501708984,3.065492630004883
1676383045367314200,0.609314208984375,2.671271324157715,-1.4118013381958008,3.336946487426758
1676383045377314300,0.619314208984375,2.2073512077331543,-1.3701467514038086,3.4786717891693115
1676383045387314200,0.629314208984375,2.120204448699951,-1.2806205749511719,3.5031189918518066
1676383045397314300,0.639314208984375,2.214531421661377,-1.1261873245239258,3.234916925430298
1676383045407314200,0.649314208984375,2.4832491874694824,-0.9855213165283203,2.850921154022217
1676383045417314300,0.659314208984375,2.58170747756958,-0.8466863632202148,2.221419334411621
1676383045427314200,0.669314208984375,2.590878486633301,-0.8535575866699219,1.6922070980072021
1676383045437314300,0.679314208984375,2.7437174320220947,-0.9705429077148438,1.6685370206832886
1676383045447314000,0.68931396484375,3.123330593109131,-0.8724784851074219,1.7832739353179932
1676383045457314800,0.699314697265625,3.4224276542663574,-0.8813762664794922,1.8401623964309692
1676383045467315700,0.709315673828125,3.5546693801879883,-0.9124307632446289,1.682187795639038
