0;58,87;0,47;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
1,61;-9,26;-3,24;;;;;
1,62;-11,31;-2,88;;;;;
1,63;-8,74;-2,84;;;;;
1,64;-9;-3,2;;;;;
1,65;-10,12;-2,96;;;;;
1,66;-8,41;-3,04;;;;;
1,67;-8,87;-2,92;;;;;
1,68;-9,74;-2,96;;;;;
1,69;-9,13;-3,2;;;;;
1,7;-9,08;-3,24;;;;;
1,71;-8,97;-3,12;;;;;
1,72;-9,15;-3,04;;;;;
1,73;-8,97;-3,16;;;;;
1,74;-8,69;-2,92;;;;;
1,75;-9,05;-2,8;;;;;
1,76;-9,25;-2,76;;;;;
1,77;-9;-2,68;;;;;
1,78;-9,2;-2,6;;;;;
1,79;-9,41;-2,8;;;;;
1,8;-9,61;-2,6;;;;;
1,81;-9,1;-2,52;;;;;
1,82;-9,28;-2,8;;;;;
1,83;-9,36;-2,56;;;;;
1,84;-10,98;-2,64;;;;;
1,85;-8,72;-2,64;;;;;
1,86;-9,08;-2,72;;;;;
1,87;-10,04;-2,36;;;;;
1,88;-9,79;-2,68;;;;;
1,89;-8,44;-2,6;;;;;
1,9;-9,97;-2,68;;;;;
1,91;-9,38;-2,64;;;;;
1,92;-9,15;-2,72;;;;;
1,93;-9,94;-2,44;;;;;
1,94;-9,38;-2,56;;;;;
1,95;-9,43;-2,56;;;;;
1,96;-9,46;-2,56;;;;;
1,97;-9,51;-2,4;;;;;
1,98;-9,53;-2,44;;;;;
1,99;-9,38;-2,56;;;;;
2;-9,26;-2,48;;;;;
2,01;-9,33;-2,48;;;;;
2,02;-9,56;-2,56;;;;;
2,03;-9,69;-2,52;;;;;
2,04;-9,69;-2,44;;;;;
2,05;-9,54;-2,48;;;;;
2,06;-9,23;-2,56;;;;;
2,07;-10,12;-2,32;;;;;
2,08;-9,69;-2,23;;;;;
2,09;-8,62;-2,6;;;;;
2,1;-10,5;-2,19;;;;;
2,11;-8,67;-2,36;;;;;
2,12;-9,92;-2,32;;;;;
2,13;-9,64;-2,27;;;;;
2,14;-9,51;-2,23;;;;;
2,15;-9,49;-2,36;;;;;
2,16;-9,56;-2,36;;;;;
2,17;-9,66;-2,52;;;;;
2,18;-9,56;-2,52;;;;;
2,19;-9,99;-2,32;;;;;
2,2;-9,38;-2,32;;;;;
2,21;-9,48;-2,4;;;;;
2,22;-9,86;-2,27;;;;;
2,23;-9,69;-2,4;;;;;
2,24;-9,76;-2,36;;;;;
2,25;-9,76;-2,36;;;;;
2,26;-9,59;-2,19;;;;;
2,27;-9,81;-2,23;;;;;
2,28;-9,74;-2,19;;;;;
2,29;-9,54;-2,44;;;;;
2,3;-9,64;-2,23;;;;;
2,31;-9,64;-2,27;;;;;
2,32;-9,64;-2,23;;;;;
2,33;-9,56;-2,23;;;;;
2,34;-9,87;-2,23;;;;;
2,35;-9,87;-2,11;;;;;
2,36;-9,05;-2,4;;;;;
2,37;-9,66;-2,44;;;;;
2,38;-9,71;-2,27;;;;;
2,39;-9,66;-2,27;;;;;
2,4;-9,82;-2,23;;;;;
2,41;-9,23;-2,19;;;;;
2,42;-9,41;-2,27;;;;;
2,43;-9,71;-2,32;;;;;
2,44;-9,41;-2,15;;;;;
2,45;-9,69;-2,15;;;;;
2,46;-9,66;-2,19;;;;;
2,47;-9,71;-2,19;;;;;
2,48;-9,89;-2,23;;;;;
2,49;-9,84;-2,27;;;;;
2,5;-9,66;-2,32;;;;;
2,51;-9,82;-2,36;;;;;
2,52;-9,74;-2,11;;;;;
2,53;-9,87;-2,27;;;;;
2,54;-9,46;-2,11;;;;;
2,55;-9,94;-2,36;;;;;
2,56;-9,41;-2,19;;;;;
2,57;-9,87;-2,23;;;;;
2,58;-9,84;-2,23;;;;;
2,59;-9,72;-2,23;;;;;
2,6;-9,64;-2,15;;;;;
2,61;-10,17;-2,23;;;;;
2,62;-9,54;-2,19;;;;;
2,63;-9,59;-2,15;;;;;
2,64;-10,1;-2,27;;;;;
