0;158,74;41,11;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
0,01;158,21;41,27;0;286,92;273,55;296,6;274,78
0,02;158,1;41,03;0,01;312,84;311,42;323,62;306,58
0,03;158,31;40,99;0,02;344,14;351,48;380,74;339,81
0,04;157,44;41,11;0,03;379,48;394,18;421,05;376,83
0,05;156,96;41,39;0,04;426,23;429,82;472,34;418,81
0,06;156,83;42,08;0,05;462,57;466,05;525,44;490,23
0,07;156,2;42,44;0,06;513,54;534,03;578,62;533,26
0,08;155,54;43,33;0,07;553,71;566,04;632,98;581,06
0,09;155,23;43,9;0,08;581,03;599;687;627,43
0,1;155,18;43,86;0,09;607,02;630,75;768,86;672,34
0,11;154,85;43,9;0,1;633,77;657,86;804,08;710,56
0,12;154,37;44,14;0,11;657,66;676,27;832,79;746,31
0,13;153,68;43,86;0,12;680,67;686,76;847,45;775,22
0,14;153,55;43,69;0,13;700,38;693,32;844,46;812,96
0,15;153,37;43,49;0,14;705,94;694,68;826,99;820,69
0,16;152,96;42,52;0,15;703,3;685,81;786,49;816,33
0,17;153,04;42,08;0,16;696,88;678,95;748,1;803,45
0,18;152,81;41,88;0,17;686,33;648,87;669,8;780,84
0,19;152,68;41,92;0,18;664,25;602,61;619,59;749,22
0,2;152,1;42,12;0,19;621,11;573,67;578,75;715,74
0,21;151,71;42,64;0,2;586,19;537,19;535,66;650,63
0,22;151,53;43,17;0,21;504,88;417,8;472,6;609,41
0,23;151,84;43,86;0,22;417,28;335,82;387,67;558,42
0,24;152,48;44,62;0,23;336,32;233,24;277,6;497,36
0,25;152,84;44,7;0,24;257,06;152,26;124,88;424,04
0,26;153,4;44,74;0,25;195,51;84,54;75,84;332,28
0,27;153,65;44,54;0,26;146,93;39,1;18,75;225,79
0,28;153,68;44,26;0,27;86,4;;;137,74
0,29;153,09;43,65;0,28;45,71;;;54,4
0,3;153,19;43,61;0,29;16,14;;;4,05
0,31;152,48;43,17;0,3;;;;
0,32;152,04;42,36;0,31;;;;
0,33;151,3;42,28;0,32;;;;
0,34;150,48;42,12;0,33;;;;
0,35;149,72;41,63;0,34;;;;
0,36;149,23;41,07;0,35;;;;
0,37;147,22;41,07;0,36;;;;
0,38;146,47;40,58;0,37;;;;
0,39;145,86;40,34;0,38;;;;
0,4;144,92;40,22;0,39;;;;
0,41;144,06;40,42;0,4;;;;
0,42;142,86;40,79;;;;;
0,43;142,58;40,87;;;;;
0,44;142,71;41,35;;;;;
0,45;143,7;41,31;;;;;
0,46;144,49;41,67;;;;;
0,47;146,25;41,72;;;;;
0,48;147,7;41,67;;;;;
0,49;149,1;41,72;;;;;
0,5;150,41;41,92;;;;;
0,51;152,11;42;;;;;
0,52;154,05;42,4;;;;;
0,53;155,28;42,93;;;;;
0,54;157,47;43,37;;;;;
0,55;159,11;45,23;;;;;
0,56;161,84;46,36;;;;;
0,57;163,88;47,01;;;;;
0,58;165,33;47,57;;;;;
0,59;166,99;47,77;;;;;
0,6;168,98;47,73;;;;;
0,61;169,18;47,33;;;;;
0,62;169,69;47,45;;;;;
0,63;169,49;47,33;;;;;
0,64;168,98;47,37;;;;;
0,65;168,64;47,09;;;;;
0,66;167,78;46,89;;;;;
0,67;166,81;46,6;;;;;
0,68;164,89;46,44;;;;;
0,69;163,77;45,84;;;;;
0,7;162,59;45,23;;;;;
0,71;161,19;44,02;;;;;
0,72;160,5;43,45;;;;;
0,73;159,27;42,89;;;;;
0,74;158,35;42,48;;;;;
0,75;157,05;42,28;;;;;
0,76;156;42,4;;;;;
0,77;155,11;42,56;;;;;
0,78;154,45;42,32;;;;;
0,79;153,58;42,68;;;;;
0,8;152,97;42,44;;;;;
0,81;152,57;42,32;;;;;
0,82;151,47;42,16;;;;;
0,83;151,5;41,72;;;;;
0,84;150,81;41,03;;;;;
0,85;150,55;41,23;;;;;
0,86;150,05;41,35;;;;;
0,87;150,2;41,84;;;;;
0,88;150,07;42,32;;;;;
0,89;150,18;42,64;;;;;
0,9;150,97;43,57;;;;;
0,91;151,94;43,73;;;;;
0,92;154,34;44,1;;;;;
0,93;155,54;44,18;;;;;
0,94;156,73;43,94;;;;;
0,95;157,4;42,93;;;;;
0,96;158,18;42,36;;;;;
0,97;159,02;41,96;;;;;
0,98;159,53;41,51;;;;;
0,99;159,99;41,31;;;;;
1;159,66;41,39;;;;;
1,01;159,99;41,27;;;;;
1,02;159,84;41,11;;;;;
1,03;159,41;42,04;;;;;
1,04;159,1;42,6;;;;;
1,05;158,67;42,73;;;;;
1,06;158;42,73;;;;;
1,07;157,14;42,89;;;;;
1,08;156,73;42,52;;;;;
1,09;155,99;42,24;;;;;
1,1;154,58;41,31;;;;;
1,11;153,69;40,79;;;;;
1,12;153,03;40,75;;;;;
1,13;152,9;40,54;;;;;
