0;158,74;41,11;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
1,14;152,46;40,14;;;;;
1,15;151,7;39,78;;;;;
1,16;151,59;39,61;;;;;
1,17;150,93;39,41;;;;;
1,18;150,78;38,89;;;;;
1,19;150,11;39,13;;;;;
1,2;149,98;38,77;;;;;
1,21;149,58;38,69;;;;;
1,22;149,55;38,77;;;;;
1,23;148,73;38,44;;;;;
1,24;147,64;38,08;;;;;
1,25;147,18;38;;;;;
1,26;146,44;37,8;;;;;
1,27;146,33;37,84;;;;;
1,28;145,72;38,12;;;;;
1,29;144,91;38,69;;;;;
1,3;144,91;39,05;;;;;
1,31;145,62;39,9;;;;;
1,32;148,12;40,62;;;;;
1,33;150,04;41,59;;;;;
1,34;152,8;44,54;;;;;
1,35;155,35;45,71;;;;;
1,36;159,13;48,06;;;;;
1,37;164,38;49,92;;;;;
1,38;168,97;50,76;;;;;
1,39;174,84;51,57;;;;;
1,4;180,86;53,95;;;;;
1,41;185,81;55,17;;;;;
1,42;191,62;59,04;;;;;
1,43;198,33;62,32;;;;;
1,44;206,5;65,55;;;;;
1,45;218,66;72,09;;;;;
1,46;240,15;78,64;;;;;
1,47;258,97;84,45;;;;;
1,48;286,92;91,8;;;;;
1,49;312,84;105,58;;;;;
1,5;344,14;111,23;;;;;
1,51;379,48;118,38;;;;;
1,52;426,23;125,98;;;;;
1,53;462,57;137,29;;;;;
1,54;513,54;151,63;;;;;
1,55;553,71;166,94;;;;;
1,56;581,03;182,98;;;;;
1,57;607,02;214,04;;;;;
1,58;633,77;228,46;;;;;
1,59;657,66;241,99;;;;;
1,6;680,67;254,64;;;;;
1,61;700,38;263,44;;;;;
1,62;705,94;269,99;;;;;
1,63;703,3;274,51;;;;;
1,64;696,88;278,02;;;;;
1,65;686,33;278,07;;;;;
1,66;664,25;279,36;;;;;
1,67;621,11;276,29;;;;;
1,68;586,19;273,06;;;;;
1,69;504,88;267;;;;;
1,7;417,28;254,07;;;;;
1,71;336,32;234,28;;;;;
1,72;257,06;175,5;;;;;
1,73;195,51;128;;;;;
1,74;146,93;96,21;;;;;
1,75;86,4;69,3;;;;;
1,76;45,71;44,26;;;;;
1,77;16,14;28,22;;;;;
1,78;-7,15;7,22;;;;;
1,79;-2,21;0,43;;;;;
1,8;3,32;0,23;;;;;
1,81;-1,14;1,16;;;;;
1,82;0,92;0,03;;;;;
1,83;-0,53;0,27;;;;;
1,84;0,01;-0,05;;;;;
1,85;-0,09;0,19;;;;;
1,86;0,6;0,15;;;;;
1,87;-0,01;0,31;;;;;
1,88;0,47;0,07;;;;;
1,89;0,9;0,19;;;;;
1,9;0,59;0,03;;;;;
1,91;-0,02;0,07;;;;;
1,92;0,6;0,11;;;;;
1,93;0,93;0,07;;;;;
1,94;0,11;0,19;;;;;
1,95;-0,07;0,03;;;;;
1,96;0,26;0,15;;;;;
1,97;0,21;0,03;;;;;
1,98;0,23;0,07;;;;;
1,99;0,72;-0,01;;;;;
2;0;0,15;;;;;
2,01;0,33;0,43;;;;;
2,02;0,21;0,35;;;;;
2,03;0,29;0,35;;;;;
2,04;0,92;0,39;;;;;
2,05;5,51;0,39;;;;;
2,06;-7,86;0,39;;;;;
2,07;6,06;0,55;;;;;
2,08;0,06;0,43;;;;;
2,09;-1,02;0,35;;;;;
2,1;0,11;0,31;;;;;
2,11;0,69;0,39;;;;;
2,12;1,4;0,03;;;;;
2,13;-0,66;0,11;;;;;
2,14;2,35;0,11;;;;;
2,15;0,03;0,27;;;;;
2,16;0,11;0,07;;;;;
2,17;0,49;0,03;;;;;
2,18;0,29;0,07;;;;;
2,19;-0,17;0,07;;;;;
2,2;0,39;-0,09;;;;;
2,21;0,24;0,03;;;;;
2,22;0,8;0,11;;;;;
2,23;-0,02;-0,01;;;;;
2,24;0,62;0,03;;;;;
2,25;-0,32;-0,17;;;;;
2,26;0,16;0,03;;;;;
2,27;-0,02;-0,13;;;;;
2,28;0,54;0,03;;;;;
2,29;-0,05;0,11;;;;;
2,3;0,39;0,03;;;;;
2,31;1,91;-0,05;;;;;
2,32;0,32;0,07;;;;;
2,33;-0,33;0,03;;;;;
2,34;-0,15;0,23;;;;;
2,35;1,84;0,03;;;;;
2,36;-0,3;0,15;;;;;
2,37;0,75;0,15;;;;;
2,38;0,29;-0,01;;;;;
2,39;0,19;0,11;;;;;
2,4;0,39;0,15;;;;;
2,41;0,52;-0,09;;;;;
2,42;0,03;0,03;;;;;
2,43;0,57;-0,01;;;;;
2,44;0,26;0,19;;;;;
2,45;0,59;0,03;;;;;
2,46;0,49;0,03;;;;;
2,47;0,18;-0,01;;;;;
2,48;0,18;0,07;;;;;
2,49;0,29;0,27;;;;;
2,5;0,01;-0,01;;;;;
2,51;0,13;0,07;;;;;
2,52;0,13;-0,05;;;;;
2,53;0,34;-0,05;;;;;
2,54;0,49;0,15;;;;;
2,55;0,31;-0,01;;;;;
2,56;0,11;0,07;;;;;
2,57;-0,1;0,07;;;;;
2,58;0,16;0,03;;;;;
2,59;-0,3;-0,01;;;;;
2,6;0,82;0,07;;;;;
2,61;0,24;0,15;;;;;
2,62;0,24;0,15;;;;;
2,63;0,29;0,11;;;;;
2,64;0,26;0,23;;;;;
2,65;0,64;0,19;;;;;
2,66;0,21;0,15;;;;;
2,67;0,34;-0,01;;;;;
2,68;0,49;0,27;;;;;
2,69;0,21;0,07;;;;;
2,7;0,24;-0,01;;;;;
2,71;0,36;-0,01;;;;;
2,72;0,62;-0,01;;;;;
2,73;0,44;0,11;;;;;
2,74;0,52;0,23;;;;;
2,75;0,82;0,15;;;;;
2,76;0,57;0,11;;;;;
2,77;0,64;0,15;;;;;
2,78;0,46;0,27;;;;;
2,79;0,54;0,19;;;;;
2,8;0,47;-0,01;;;;;
2,81;0,21;-0,01;;;;;
2,82;0,06;0,11;;;;;
2,83;0,95;0,07;;;;;
2,84;0,72;0,07;;;;;
2,85;0,67;0,03;;;;;
2,86;0,08;0,15;;;;;
2,87;0,03;-0,05;;;;;
2,88;0,44;-0,01;;;;;
2,89;0,74;0,03;;;;;
2,9;0,64;0,11;;;;;
2,91;0,75;0,19;;;;;
2,92;0,64;0,11;;;;;
2,93;0,29;0,19;;;;;
2,94;0,64;0,11;;;;;
2,95;0,44;0,23;;;;;
2,96;0,36;0,07;;;;;
2,97;0,08;0,15;;;;;
2,98;0,34;0,03;;;;;
2,99;0,41;0,07;;;;;
3;0,59;0,27;;;;;
3,01;0,41;0,11;;;;;
3,02;0,87;0,35;;;;;
3,03;0,64;0,03;;;;;
3,04;0,52;-0,05;;;;;
3,05;0,59;-0,01;;;;;
3,06;0,41;0,07;;;;;
3,07;0,24;0,11;;;;;
3,08;0,64;0,15;;;;;
3,09;0,57;0,19;;;;;
3,1;1,41;-0,01;;;;;
3,11;0,21;0,07;;;;;
3,12;0,82;0,03;;;;;
3,13;0,54;0,11;;;;;
3,14;0,54;-0,05;;;;;
3,15;0,46;-0,01;;;;;
3,16;0,69;0,15;;;;;
3,17;0,36;0,03;;;;;
3,18;0,9;0,11;;;;;
3,19;0,21;0,15;;;;;
3,2;0,85;0,27;;;;;
3,21;0,49;0,15;;;;;
3,22;0,59;0,15;;;;;
3,23;0,29;-0,01;;;;;
3,24;0,54;0,23;;;;;
3,25;0,41;0,15;;;;;
3,26;0,39;0,23;;;;;
3,27;0,67;0,11;;;;;
3,28;0,67;0,11;;;;;
3,29;0,36;-0,01;;;;;
3,3;0,26;0,27;;;;;
3,31;0,36;0,15;;;;;
3,32;0,57;-0,09;;;;;
3,33;0,26;0,15;;;;;
3,34;0,82;0,19;;;;;
3,35;0,74;0,07;;;;;
3,36;0,11;0,23;;;;;
3,37;0,26;0,11;;;;;
3,38;0,34;0,15;;;;;
3,39;0,64;0,07;;;;;
3,4;0,67;0,03;;;;;
3,41;0,62;0,11;;;;;
3,42;0,46;0,11;;;;;
3,43;0,72;0,07;;;;;
3,44;0,69;0,11;;;;;
3,45;0,29;0,07;;;;;
3,46;0,44;0,03;;;;;
3,47;0,67;0,11;;;;;
3,48;0,64;-0,01;;;;;
3,49;0,59;0,07;;;;;
3,5;0,52;0,03;;;;;
3,51;0,62;0,07;;;;;
3,52;0,54;-0,05;;;;;
3,53;0,64;-0,09;;;;;
3,54;0,85;0,03;;;;;
3,55;0,36;0,11;;;;;
3,56;0,49;0,03;;;;;
3,57;0,52;0,15;;;;;
3,58;0,62;0,03;;;;;
3,59;0,23;0,11;;;;;
3,6;0,49;0,03;;;;;
3,61;0,62;0,07;;;;;
3,62;0,57;0,19;;;;;
3,63;0,59;-0,01;;;;;
3,64;0,52;0,19;;;;;
3,65;0,31;0,07;;;;;
3,66;0,49;0,07;;;;;
3,67;0,31;0,03;;;;;
3,68;0,72;-0,01;;;;;
3,69;0,52;0,19;;;;;
3,7;0,9;-0,01;;;;;
3,71;0,29;0,23;;;;;
3,72;0,62;0,03;;;;;
3,73;0,69;-0,01;;;;;
3,74;0,36;0,11;;;;;
3,75;0,41;0,07;;;;;
3,76;0,34;0,11;;;;;
3,77;0,44;0,03;;;;;
3,78;0,57;0,15;;;;;
3,79;0,16;0,15;;;;;
3,8;0,49;0,07;;;;;
3,81;0,74;0,03;;;;;
3,82;0,54;-0,01;;;;;
3,83;0,49;0,11;;;;;
3,84;0,49;0,07;;;;;
3,85;0,57;0,07;;;;;
3,86;0,69;-0,01;;;;;
3,87;0,85;0,11;;;;;
3,88;0,59;0,23;;;;;
3,89;0,64;0,03;;;;;
3,9;0,31;0,07;;;;;
3,91;0,72;0,07;;;;;
3,92;0,57;-0,01;;;;;
3,93;0,57;-0,05;;;;;
3,94;0,44;0,07;;;;;
3,95;0,72;0,23;;;;;
3,96;0,62;-0,05;;;;;
3,97;0,06;0,03;;;;;
3,98;0,8;0,03;;;;;
3,99;0,44;0,11;;;;;
4;0,9;0,07;;;;;
4,01;-0,12;0,15;;;;;
4,02;0,82;0,03;;;;;
4,03;0,24;0,03;;;;;
4,04;0,52;0,15;;;;;
4,05;0,41;-0,09;;;;;
4,06;0,52;0,07;;;;;
4,07;0,41;0,23;;;;;
4,08;0,41;0,03;;;;;
4,09;0,59;-0,05;;;;;
4,1;0,72;0,07;;;;;
4,11;0,64;0,03;;;;;
4,12;0,77;0,15;;;;;
4,13;0,41;-0,01;;;;;
4,14;0,64;0,03;;;;;
4,15;0,41;0,03;;;;;
4,16;0,62;0,07;;;;;
4,17;0,44;0,03;;;;;
4,18;0,82;0,03;;;;;
4,19;0,74;0,07;;;;;
4,2;0,64;0,15;;;;;
4,21;0,54;-0,01;;;;;
4,22;0,87;0,15;;;;;
4,23;0,59;0,03;;;;;
4,24;1;0,03;;;;;
4,25;-0,09;0,27;;;;;
4,26;0,67;0,03;;;;;
