type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-02 08:45:23,59.34548106,18.08271288,6.00,41.260,,2.668,314,22,36,,
T,2023-01-02 08:45:24,59.34549602,18.08267396,6.00,41.931,,2.437,295,24,36,,
T,2023-01-02 08:45:25,59.34550434,18.08262621,6.00,42.059,,2.377,292,25,36,,
T,2023-01-02 08:45:26,59.34551214,18.08256700,6.00,42.876,,2.638,285,23,36,,
T,2023-01-02 08:45:27,59.34551890,18.08250786,6.00,44.059,,1.731,279,25,36,,
T,2023-01-02 08:45:28,59.34552014,18.08246157,6.00,45.294,,1.436,288,25,36,,
T,2023-01-02 08:45:29,59.34552178,18.08242162,6.00,46.075,,1.486,271,26,36,,
T,2023-01-02 08:45:30,59.34551941,18.08238290,6.00,46.464,,1.744,266,26,36,,
T,2023-01-02 08:45:31,59.34551291,18.08233930,6.00,46.454,,1.431,259,25,36,,
T,2023-01-02 08:45:32,59.34550618,18.08230669,6.00,46.792,,1.833,254,23,36,,
T,2023-01-02 08:45:33,59.34548773,18.08225251,6.00,46.768,,2.706,246,21,36,,
T,2023-01-02 08:45:34,59.34547435,18.08220329,6.00,47.234,,2.029,254,21,36,,
T,2023-01-02 08:45:35,59.34546640,18.08216666,6.00,47.519,,1.552,269,25,36,,
T,2023-01-02 08:45:36,59.34546256,18.08213184,6.00,47.924,,1.783,286,26,36,,
T,2023-01-02 08:45:37,59.34546659,18.08209207,6.00,48.178,,1.984,297,23,36,,
T,2023-01-02 08:45:38,59.34547623,18.08204377,6.00,48.126,,1.949,313,25,36,,
T,2023-01-02 08:45:39,59.34548707,18.08201400,6.00,48.029,,1.681,323,27,36,,
T,2023-01-02 08:45:40,59.34551148,18.08201101,6.00,47.015,,1.562,332,26,36,,
T,2023-01-02 08:45:41,59.34552687,18.08200829,6.00,47.039,,1.800,339,26,36,,
T,2023-01-02 08:45:42,59.34555462,18.08198951,6.00,46.547,,2.355,338,27,36,,
T,2023-01-02 08:45:43,59.34558142,18.08196346,6.00,46.221,,2.431,329,26,36,,
T,2023-01-02 08:45:44,59.34560105,18.08193975,6.00,45.973,,2.508,329,26,36,,
T,2023-01-02 08:45:45,59.34562655,18.08190748,6.00,45.957,,2.661,331,26,36,,
T,2023-01-02 08:45:46,59.34565106,18.08188606,6.00,45.959,,2.726,333,26,36,,
T,2023-01-02 08:45:47,59.34567542,18.08186703,6.00,45.873,,2.674,338,24,36,,
T,2023-01-02 08:45:48,59.34570457,18.08184395,6.00,46.377,,2.947,334,26,36,,
T,2023-01-02 08:45:49,59.34572976,18.08181762,6.00,46.496,,2.788,331,25,36,,
T,2023-01-02 08:45:50,59.34575685,18.08178999,6.00,46.700,,3.031,332,27,36,,
T,2023-01-02 08:45:51,59.34578136,18.08176335,6.00,46.662,,2.951,330,25,36,,
T,2023-01-02 08:45:52,59.34580138,18.08173781,4.00,47.117,,2.655,312,28,36,,
T,2023-01-02 08:45:53,59.34581446,18.08169661,4.00,47.013,,2.691,294,26,36,,
T,2023-01-02 08:45:54,59.34582603,18.08164844,4.00,47.254,,2.421,297,26,36,,
T,2023-01-02 08:45:55,59.34584068,18.08160844,4.00,46.872,,1.687,322,27,36,,
T,2023-01-02 08:45:56,59.34585844,18.08158371,6.00,47.348,,2.168,344,27,36,,
T,2023-01-02 08:45:57,59.34588365,18.08156736,6.00,47.304,,2.100,343,28,36,,
T,2023-01-02 08:45:58,59.34590539,18.08156080,6.00,47.112,,1.900,346,27,36,,
T,2023-01-02 08:45:59,59.34593226,18.08155130,6.00,47.400,,1.855,347,28,36,,
T,2023-01-02 08:46:00,59.34596150,18.08154049,6.00,46.183,,2.039,348,27,36,,
T,2023-01-02 08:46:01,59.34599280,18.08153492,6.00,46.248,,2.412,352,26,36,,
T,2023-01-02 08:46:02,59.34601789,18.08153801,6.00,46.456,,1.953,353,28,36,,
T,2023-01-02 08:46:03,59.34603610,18.08154116,6.00,46.421,,2.017,352,27,36,,
T,2023-01-02 08:46:04,59.34605535,18.08153845,6.00,46.870,,2.065,351,27,36,,
T,2023-01-02 08:46:05,59.34608813,18.08152943,6.00,46.812,,2.756,349,26,36,,
T,2023-01-02 08:46:06,59.34611076,18.08151808,6.00,46.755,,2.083,347,28,36,,
T,2023-01-02 08:46:07,59.34613103,18.08150317,6.00,46.620,,2.199,340,28,36,,
T,2023-01-02 08:46:08,59.34615296,18.08147999,6.00,46.561,,2.190,335,28,36,,
T,2023-01-02 08:46:09,59.34617123,18.08145312,6.00,46.522,,2.025,330,28,36,,
T,2023-01-02 08:46:10,59.34619045,18.08142635,6.00,46.317,,2.584,330,28,36,,
T,2023-01-02 08:46:11,59.34620994,18.08139807,6.00,46.752,,2.725,322,26,36,,
T,2023-01-02 08:46:12,59.34623172,18.08136525,6.00,46.729,,2.663,327,26,36,,
T,2023-01-02 08:46:13,59.34627037,18.08132364,6.00,46.983,,3.126,332,25,36,,
T,2023-01-02 08:46:14,59.34630307,18.08128809,6.00,47.119,,2.720,334,28,36,,
T,2023-01-02 08:46:15,59.34633135,18.08126911,6.00,46.615,,2.655,336,24,36,,
T,2023-01-02 08:46:16,59.34636549,18.08125220,6.00,45.924,,2.997,339,27,36,,
T,2023-01-02 08:46:17,59.34639527,18.08123383,6.00,46.755,,2.237,326,28,36,,
T,2023-01-02 08:46:18,59.34641306,18.08120665,6.00,47.235,,2.147,319,28,36,,
T,2023-01-02 08:46:19,59.34642784,18.08117125,6.00,47.399,,2.256,326,28,36,,
T,2023-01-02 08:46:20,59.34644771,18.08113528,4.00,47.696,,1.793,330,28,36,,
T,2023-01-02 08:46:21,59.34646353,18.08110779,4.00,47.909,,1.485,334,28,36,,
T,2023-01-02 08:46:22,59.34647772,18.08108644,4.00,48.338,,1.401,339,28,36,,
T,2023-01-02 08:46:23,59.34649047,18.08106909,4.00,48.452,,0.954,344,28,36,,
T,2023-01-02 08:46:24,59.34650332,18.08106280,6.00,48.187,,0.806,348,28,36,,
T,2023-01-02 08:46:25,59.34651922,18.08106002,6.00,49.137,,1.159,13,28,36,,
T,2023-01-02 08:46:26,59.34653734,18.08107082,6.00,49.439,,1.803,41,28,36,,
T,2023-01-02 08:46:27,59.34656037,18.08109839,6.00,49.578,,1.992,49,28,36,,
T,2023-01-02 08:46:28,59.34657205,18.08112973,6.00,49.266,,0.710,73,28,36,,
T,2023-01-02 08:46:29,59.34657767,18.08114286,6.00,49.248,,0.399,74,28,36,,
T,2023-01-02 08:46:30,59.34657767,18.08114286,6.00,49.245,,0.000,,27,36,,
T,2023-01-02 08:46:31,59.34657767,18.08114286,6.00,48.420,,0.000,,24,36,,
T,2023-01-02 08:46:32,59.34657767,18.08114286,6.00,48.474,,0.000,,27,36,,
T,2023-01-02 08:46:33,59.34656165,18.08117428,6.00,48.244,,0.643,123,25,36,,
T,2023-01-02 08:46:34,59.34655984,18.08118828,6.00,48.554,,0.277,123,25,36,,
T,2023-01-02 08:46:35,59.34655984,18.08118828,6.00,48.625,,0.000,,25,36,,
T,2023-01-02 08:46:36,59.34655984,18.08118828,6.00,48.512,,0.000,,25,36,,
T,2023-01-02 08:46:37,59.34655984,18.08118828,4.00,48.623,,0.000,,25,36,,
T,2023-01-02 08:46:38,59.34655984,18.08118828,8.00,48.656,,0.000,,25,35,,
T,2023-01-02 08:46:39,59.34655026,18.08121342,8.00,48.710,,0.314,28,27,36,,
T,2023-01-02 08:46:40,59.34655026,18.08121342,8.00,48.893,,0.000,,26,36,,
T,2023-01-02 08:46:41,59.34655026,18.08121342,8.00,49.062,,0.000,,25,36,,
T,2023-01-02 08:46:42,59.34655026,18.08121342,6.00,49.325,,0.000,,24,36,,
T,2023-01-02 08:46:43,59.34655026,18.08121342,6.00,49.410,,0.000,,22,36,,
T,2023-01-02 08:46:44,59.34655026,18.08121342,6.00,49.529,,0.000,,25,36,,
T,2023-01-02 08:46:45,59.34655026,18.08121342,6.00,49.622,,0.000,,25,35,,
T,2023-01-02 08:46:46,59.34655026,18.08121342,6.00,49.562,,0.000,,25,36,,
T,2023-01-02 08:46:47,59.34655026,18.08121342,6.00,49.481,,0.000,,21,36,,
T,2023-01-02 08:46:48,59.34655026,18.08121342,6.00,49.477,,0.000,,23,36,,
T,2023-01-02 08:46:49,59.34655026,18.08121342,6.00,49.431,,0.000,,22,36,,
T,2023-01-02 08:46:50,59.34655026,18.08121342,8.00,49.466,,0.000,,24,36,,
T,2023-01-02 08:46:51,59.34655026,18.08121342,8.00,49.463,,0.000,,25,36,,
T,2023-01-02 08:46:52,59.34655026,18.08121342,8.00,49.444,,0.000,,24,35,,
T,2023-01-02 08:46:53,59.34655026,18.08121342,8.00,49.351,,0.000,,25,36,,
T,2023-01-02 08:46:54,59.34655026,18.08121342,6.00,49.346,,0.000,,26,36,,
T,2023-01-02 08:46:55,59.34655026,18.08121342,6.00,49.317,,0.000,,26,36,,
T,2023-01-02 08:46:56,59.34655026,18.08121342,8.00,49.261,,0.000,,25,36,,
T,2023-01-02 08:46:57,59.34655026,18.08121342,6.00,49.143,,0.000,,25,36,,
T,2023-01-02 08:46:58,59.34655026,18.08121342,6.00,49.115,,0.000,,26,36,,
T,2023-01-02 08:46:59,59.34655026,18.08121342,6.00,49.104,,0.000,,27,35,,
T,2023-01-02 08:47:00,59.34655026,18.08121342,6.00,49.178,,0.000,,26,35,,
T,2023-01-02 08:47:01,59.34655026,18.08121342,6.00,49.182,,0.000,,25,35,,
T,2023-01-02 08:47:02,59.34655026,18.08121342,6.00,49.144,,0.000,,24,35,,
T,2023-01-02 08:47:03,59.34655026,18.08121342,6.00,49.042,,0.000,,24,35,,
T,2023-01-02 08:47:04,59.34655026,18.08121342,6.00,48.965,,0.000,,26,36,,
T,2023-01-02 08:47:05,59.34655026,18.08121342,6.00,48.977,,0.000,,24,36,,
T,2023-01-02 08:47:06,59.34655026,18.08121342,6.00,49.050,,0.000,,25,36,,
T,2023-01-02 08:47:07,59.34655026,18.08121342,6.00,49.122,,0.000,,25,36,,
T,2023-01-02 08:47:08,59.34655026,18.08121342,6.00,48.952,,0.000,,25,36,,
T,2023-01-02 08:47:09,59.34655921,18.08123126,6.00,48.435,,0.561,18,25,36,,
T,2023-01-02 08:47:10,59.34656537,18.08123443,6.00,48.696,,0.957,28,26,36,,
T,2023-01-02 08:47:11,59.34657229,18.08124074,6.00,48.736,,0.827,32,27,36,,
T,2023-01-02 08:47:12,59.34657847,18.08124586,6.00,48.840,,0.845,32,25,36,,
T,2023-01-02 08:47:13,59.34658862,18.08125188,6.00,48.530,,0.402,35,25,36,,
T,2023-01-02 08:47:14,59.34658862,18.08125188,6.00,48.388,,0.000,,25,36,,
T,2023-01-02 08:47:15,59.34656838,18.08126049,6.00,48.497,,0.622,160,24,36,,
T,2023-01-02 08:47:16,59.34656498,18.08125553,6.00,48.844,,0.421,172,26,36,,
T,2023-01-02 08:47:17,59.34656833,18.08125554,4.00,49.016,,0.449,168,26,36,,
T,2023-01-02 08:47:18,59.34657991,18.08126675,4.00,49.155,,0.804,36,26,36,,
T,2023-01-02 08:47:19,59.34658438,18.08127432,4.00,49.224,,0.343,21,26,36,,
T,2023-01-02 08:47:20,59.34658780,18.08127163,4.00,49.249,,0.785,14,26,36,,
T,2023-01-02 08:47:21,59.34659482,18.08127114,6.00,49.487,,0.350,16,26,36,,
T,2023-01-02 08:47:22,59.34659482,18.08127114,6.00,49.523,,0.000,,25,36,,
T,2023-01-02 08:47:23,59.34659482,18.08127114,6.00,49.331,,0.000,,25,36,,
T,2023-01-02 08:47:24,59.34660316,18.08126805,6.00,49.165,,0.621,28,25,35,,
T,2023-01-02 08:47:25,59.34660432,18.08126929,6.00,49.886,,0.449,35,25,35,,
T,2023-01-02 08:47:26,59.34660432,18.08126929,6.00,49.590,,0.000,,25,34,,
T,2023-01-02 08:47:27,59.34660432,18.08126929,6.00,49.648,,0.000,,25,35,,
T,2023-01-02 08:47:28,59.34661070,18.08127856,6.00,49.806,,0.330,27,24,35,,
T,2023-01-02 08:47:29,59.34661070,18.08127856,6.00,49.983,,0.000,,25,36,,
T,2023-01-02 08:47:30,59.34661070,18.08127856,6.00,49.996,,0.000,,23,34,,
T,2023-01-02 08:47:31,59.34661070,18.08127856,6.00,49.919,,0.000,,25,36,,
T,2023-01-02 08:47:32,59.34661070,18.08127856,6.00,49.981,,0.000,,22,35,,
T,2023-01-02 08:47:33,59.34661611,18.08127873,8.00,50.001,,0.304,38,21,33,,
T,2023-01-02 08:47:34,59.34661611,18.08127873,12.00,49.938,,0.000,,18,32,,
T,2023-01-02 08:47:35,59.34661611,18.08127873,12.00,49.968,,0.000,,18,31,,
T,2023-01-02 08:47:36,59.34661611,18.08127873,12.00,49.967,,0.000,,15,31,,
T,2023-01-02 08:47:37,59.34661611,18.08127873,12.00,50.070,,0.000,,10,32,,
T,2023-01-02 08:47:38,59.34661611,18.08127873,8.00,50.139,,0.000,,11,32,,
T,2023-01-02 08:47:39,59.34661611,18.08127873,8.00,50.247,,0.000,,10,35,,
T,2023-01-02 08:47:40,59.34661611,18.08127873,8.00,50.660,,0.000,,8,33,,
T,2023-01-02 08:47:41,59.34661611,18.08127873,16.00,50.865,,0.000,,7,33,,
T,2023-01-02 08:47:42,59.34661611,18.08127873,16.00,50.983,,0.000,,7,33,,
T,2023-01-02 08:47:43,59.34661611,18.08127873,24.00,50.998,,0.000,,6,34,,
T,2023-01-02 08:47:44,59.34661611,18.08127873,16.00,51.016,,0.000,,7,29,,
T,2023-01-02 08:47:45,59.34661611,18.08127873,16.00,51.057,,0.000,,9,32,,
T,2023-01-02 08:47:46,59.34667390,18.08131183,16.00,51.096,,0.989,46,8,30,,
T,2023-01-02 08:47:47,59.34667390,18.08131183,16.00,50.885,,0.000,,8,30,,
T,2023-01-02 08:47:48,59.34667390,18.08131183,32.00,50.303,,0.000,,7,31,,
T,2023-01-02 08:47:49,59.34667390,18.08131183,16.00,50.415,,0.000,,9,30,,
T,2023-01-02 08:47:50,59.34667390,18.08131183,16.00,50.299,,0.000,,7,28,,
T,2023-01-02 08:47:51,59.34670708,18.08135700,16.00,50.175,,0.323,71,10,29,,
T,2023-01-02 08:47:52,59.34670708,18.08135700,16.00,50.269,,0.000,,9,29,,
T,2023-01-02 08:47:53,59.34672116,18.08136209,16.00,50.769,,0.493,77,9,28,,
T,2023-01-02 08:47:54,59.34672116,18.08136209,16.00,50.388,,0.000,,9,28,,
T,2023-01-02 08:47:55,59.34672116,18.08136209,16.00,50.001,,0.000,,7,26,,
T,2023-01-02 08:47:56,59.34672116,18.08136209,16.00,50.284,,0.000,,7,26,,
T,2023-01-02 08:47:57,59.34672116,18.08136209,16.00,50.406,,0.000,,8,26,,
T,2023-01-02 08:47:58,59.34672116,18.08136209,16.00,50.592,,0.000,,8,28,,
T,2023-01-02 08:47:59,59.34672116,18.08136209,16.00,50.243,,0.000,,9,29,,
T,2023-01-02 08:48:00,59.34672116,18.08136209,16.00,50.358,,0.000,,9,27,,
T,2023-01-02 08:48:01,59.34672116,18.08136209,16.00,50.305,,0.000,,9,28,,
T,2023-01-02 08:48:02,59.34672116,18.08136209,16.00,50.293,,0.000,,8,25,,
T,2023-01-02 08:48:03,59.34672116,18.08136209,16.00,50.290,,0.000,,7,25,,
T,2023-01-02 08:48:04,59.34672116,18.08136209,16.00,50.142,,0.000,,7,25,,
T,2023-01-02 08:48:05,59.34672116,18.08136209,16.00,50.383,,0.000,,7,25,,
T,2023-01-02 08:48:06,59.34672116,18.08136209,16.00,50.369,,0.000,,7,25,,
T,2023-01-02 08:48:07,59.34672116,18.08136209,16.00,49.894,,0.000,,7,26,,
T,2023-01-02 08:48:08,59.34672116,18.08136209,16.00,49.762,,0.000,,7,26,,
T,2023-01-02 08:48:09,59.34672116,18.08136209,24.00,50.005,,0.000,,8,26,,
T,2023-01-02 08:48:10,59.34672116,18.08136209,24.00,50.948,,0.000,,8,28,,
T,2023-01-02 08:48:11,59.34672116,18.08136209,32.00,50.897,,0.000,,8,27,,
T,2023-01-02 08:48:12,59.34672116,18.08136209,16.00,50.858,,0.000,,8,27,,
T,2023-01-02 08:48:13,59.34672116,18.08136209,16.00,50.834,,0.000,,6,26,,
T,2023-01-02 08:48:14,59.34672116,18.08136209,16.00,50.802,,0.000,,8,26,,
T,2023-01-02 08:48:15,59.34672116,18.08136209,32.00,50.785,,0.000,,7,30,,
T,2023-01-02 08:48:16,59.34672116,18.08136209,16.00,50.788,,0.000,,8,28,,
T,2023-01-02 08:48:17,59.34672116,18.08136209,16.00,50.816,,0.000,,8,28,,
T,2023-01-02 08:48:18,59.34672116,18.08136209,16.00,50.840,,0.000,,8,27,,
T,2023-01-02 08:48:19,59.34672116,18.08136209,16.00,50.939,,0.000,,9,26,,
T,2023-01-02 08:48:20,59.34672116,18.08136209,16.00,51.070,,0.000,,7,25,,
T,2023-01-02 08:48:21,59.34672116,18.08136209,16.00,50.967,,0.000,,7,24,,
T,2023-01-02 08:48:22,59.34672116,18.08136209,16.00,50.640,,0.000,,7,25,,
T,2023-01-02 08:48:23,59.34672116,18.08136209,16.00,50.667,,0.000,,7,28,,
T,2023-01-02 08:48:24,59.34672116,18.08136209,24.00,50.750,,0.000,,6,29,,
T,2023-01-02 08:48:25,59.34672116,18.08136209,16.00,50.736,,0.000,,9,28,,
T,2023-01-02 08:48:26,59.34672116,18.08136209,16.00,50.429,,0.000,,8,27,,
T,2023-01-02 08:48:27,59.34672116,18.08136209,32.00,50.545,,0.000,,8,28,,
T,2023-01-02 08:48:28,59.34672116,18.08136209,16.00,50.485,,0.000,,8,26,,
T,2023-01-02 08:48:29,59.34672116,18.08136209,16.00,50.472,,0.000,,11,27,,
T,2023-01-02 08:48:30,59.34680469,18.08134013,16.00,50.660,,0.623,31,11,27,,
T,2023-01-02 08:48:31,59.34680469,18.08134013,12.00,50.598,,0.000,,14,28,,
T,2023-01-02 08:48:32,59.34680469,18.08134013,12.00,50.426,,0.000,,13,32,,
T,2023-01-02 08:48:33,59.34680469,18.08134013,12.00,50.296,,0.000,,16,32,,
T,2023-01-02 08:48:34,59.34680469,18.08134013,12.00,50.159,,0.000,,18,33,,
T,2023-01-02 08:48:35,59.34680469,18.08134013,8.00,50.092,,0.000,,18,29,,
T,2023-01-02 08:48:36,59.34680469,18.08134013,8.00,50.018,,0.000,,16,32,,
T,2023-01-02 08:48:37,59.34679843,18.08131058,8.00,49.939,,0.628,47,13,32,,
T,2023-01-02 08:48:38,59.34679843,18.08131058,8.00,49.913,,0.000,,14,30,,
T,2023-01-02 08:48:39,59.34679843,18.08131058,12.00,49.861,,0.000,,13,29,,
T,2023-01-02 08:48:40,59.34679843,18.08131058,12.00,49.864,,0.000,,9,31,,
T,2023-01-02 08:48:41,59.34679843,18.08131058,12.00,49.740,,0.000,,6,28,,
T,2023-01-02 08:48:42,59.34679843,18.08131058,16.00,48.885,,0.000,,5,29,,
