Subjekt;Calm RT;Intense RT;Difference
1;1201;1265;64
2;1210;1284;74
3;1272;1294;22
4;1129;1106;-23
5;1255;1295;40
6;1086;1218;132
7;1419;1759;340
8;1415;1494;79
