"tid";"acceleration"
0;-7,16512683767844
0,01;-8,52622184837311
0,02;-9,81137470352766
0,03;-10,50681795068
0,04;-11,217479078472
0,05;-12,0463393613712
0,06;-12,8546763634969
0,07;-13,5036065136071
0,08;-13,9907066431058
0,09;-13,2199414314123
0,1;-12,3025124460938
0,11;-10,2442744166138
0,12;-8,42732034351223
0,13;-8,48716865207538
0,14;-7,82208006170637
0,15;-1,5181445338959
0,16;5,75214867975039
0,17;20,5391555347614
0,18;33,3798804790201
0,19;31,0816522151684
0,2;28,2443161270872
0,21;21,2135854027425
0,22;14,3376691307595
0,23;8,66596111709713
0,24;3,96157367853734
0,25;6,78320987848851
0,26;9,24103391519716
0,27;8,86829793802378
0,28;8,43002527177952
0,29;7,48185890138902
0,3;6,35230383928608
0,31;3,81149420793842
0,32;1,41466853557977
0,33;0,138078188291547
0,34;-1,1906456959565
0,35;-2,92498302581854
0,36;-4,67130554765869
0,37;-6,51087620302036
0,38;-8,31363450012938
0,39;-9,8301901182471
0,4;-11,313598915484
0,41;-12,5394278133788
0,42;-13,6493430013356
0,43;-13,8593769571999
0,44;-14,0092611729985
0,45;-13,6925187010143
0,46;-13,2663485950768
0,47;-11,9914710468609
0,48;-10,5243632668192
0,49;-7,56634114919606
0,5;-4,38444665394811
0,51;0,533774819738746
0,52;5,22408201404379
0,53;8,14671373059127
0,54;11,5106133469718
0,55;24,8627506475554
0,56;37,0292077655787
0,57;22,4058495159352
0,58;8,31645637453004
0,59;6,29172187745398
0,6;4,48722981978461
0,61;7,65899896193098
0,62;10,6513839413803
0,63;9,59067882990153
0,64;8,51228294294614
0,65;7,03393278043794
0,66;5,5634889054931
0,67;4,27179092651971
0,68;2,95516019165632
0,69;1,07484798729803
0,7;-0,811759386298209
0,71;-2,84068838143354
0,72;-4,8590809483425
0,73;-6,63926521729391
0,74;-8,40356563218286
0,75;-9,80876277573556
0,76;-11,1680118815274
0,77;-11,4884645716523
0,78;-11,8263805030144
0,79;-12,5591066001214
0,8;-13,2738834503114
0,81;-13,5828624847348
0,82;-13,8344720651516
0,83;-12,7890690614604
0,84;-11,7091918502125
0,85;-9,84991937020151
0,86;-7,96988091294855
0,87;-5,62036380593533
0,88;-2,98033691497737
0,89;6,22755526449868
0,9;15,4400727286674
0,91;24,757158948455
0,92;33,3997151344107
0,93;26,7924496619892
0,94;20,0785524434281
0,95;10,9539173325943
0,96;2,30361305653737
0,97;4,35768392577938
0,98;6,4058181385585
0,99;8,31981674472128
1;10,0753161974565
1,01;8,24313746712496
1,02;6,40974992679905
1,03;4,54895104782447
1,04;2,72772086112327
1,05;1,80538963446709
1,06;0,886811772856605
1,07;0,0536039271687383
1,08;-0,843325842179474
1,09;-3,18960614767727
1,1;-5,47348212651071
1,11;-6,33711671284372
1,12;-7,24043372618232
1,13;-9,04687121855036
1,14;-10,8143363280022
1,15;-11,6948406392174
1,16;-12,5509642778432
1,17;-12,8512057481796
1,18;-13,1238652086582
1,19;-12,7676516390171
1,2;-12,4071519653776
1,21;-11,9489286224815
1,22;-11,4029278211168
1,23;-8,85559076591408
1,24;-6,15220083743011
1,25;0,109212736788641
1,26;6,43278563792472
1,27;14,1735984164086
