tid;acceleration
2,57;-8,3754436878051
2,58;-11,7361714926074
2,59;-13,4014132109008
2,6;-14,9137710468847
2,61;-15,2398075001315
2,62;-15,3848420727988
2,63;-14,1253701794882
2,64;-12,8452997233261
2,65;-11,4053921725133
2,66;-9,93959122423635
2,67;-8,27286725763666
2,68;-6,1272407627379
2,69;-0,265510902436282
2,7;5,60508363810853
2,71;11,5444647606976
2,72;17,7645518397385
2,73;26,162811485995
2,74;32,7101178421028
2,75;24,8843144101833
2,76;17,5422319791565
2,77;13,9581781076894
2,78;11,0706361862272
2,79;13,5982210192093
2,8;14,9358735542848
2,81;7,01776037559562
2,82;-0,0147734251921112
2,83;-0,153917845815792
2,84;-0,55708594246543
2,85;-3,01542611046644
2,86;-5,65056611109771
2,87;-9,66192389537181
2,88;-13,3339183323449
2,89;-14,3642933361581
2,9;-15,4663871288882
2,91;-17,1267431736563
2,92;-18,3065409473841
2,93;-15,7456517033027
2,94;-13,1515920457196
2,95;-10,2993324097923
2,96;-7,70085134289607
2,97;-7,07779397747948
2,98;-5,90777655255497
2,99;-0,480197626464684
3;5,2722452664285
3,01;13,5534437680213
3,02;21,2102012338388
3,03;24,0062818231293
3,04;25,8754330861497
3,05;20,5293251264062
3,06;15,326188549504
3,07;11,2359475941483
3,08;7,95240776435249
3,09;10,9482654799613
3,1;13,3546829368773
3,11;11,1728711273406
3,12;8,84563304653311
3,13;5,38639038322401
3,14;2,20055667590089
3,15;1,14140634798103
3,16;-0,448158651314076
3,17;-6,16150455326543
3,18;-11,5328356639779
3,19;-14,2470537883497
3,2;-16,6839870278857
3,21;-16,9677346016495
3,22;-17,1608727014626
3,23;-16,6509153879247
3,24;-15,9065215182002
3,25;-13,3429882120802
3,26;-10,6471081284776
3,27;-6,92426686566019
3,28;-3,13874065098576
3,29;1,13319719615473
3,3;5,8645077468784
3,31;14,1603775741548
3,32;22,1006019599782
3,33;27,2811515815566
3,34;30,936657916515
3,35;22,7584023585011
3,36;15,0741201534422
3,37;11,2228852405671
3,38;8,19681449015928
3,39;11,5737070568378
3,4;13,8253241753153
3,41;7,34522735830788
3,42;1,41558961502829
3,43;-0,242692903359732
3,44;-1,89691189781212
3,45;-3,51959947601457
3,46;-5,29141053837056
3,47;-8,22036370914484
3,48;-11,0354532899351
3,49;-12,9670042695493
3,5;-14,8076765243889
3,51;-15,9431640808473
3,52;-16,845589421875
3,53;-15,9395396934821
3,54;-14,7602932108537
3,55;-11,4611427439371
3,56;-8,43213836711289
3,57;-7,4993659691179
3,58;-6,49912529068613
3,59;-4,97535615044152
3,6;-2,42894697798406
3,61;8,05276393280561
3,62;17,6616549105407
3,63;20,4977917284728
3,64;22,833967146092
3,65;21,2906302778047
3,66;19,2763305066183
3,67;13,6075358746563
3,68;8,68932024207979
3,69;9,59531513419951
3,7;10,2734486076506
3,71;9,18346323701464
3,72;7,8597839194094
3,73;4,72272753338105
3,74;1,77034855131592
3,75;0,252035256734559
3,76;-1,51582999276447
3,77;-5,22246443341446
3,78;-8,70190626900658
3,79;-10,4150083397017
3,8;-12,1558506115513
3,81;-14,1125193787938
3,82;-15,8795879379381
3,83;-16,170800019847
3,84;-16,289598833851
3,85;-15,0663250797303
3,86;-13,7844674771651
3,87;-12,046590585074
3,88;-9,86008011554752
3,89;-4,18138586735612
3,9;1,48522167338543
3,91;7,05774574412122
3,92;13,273766977643
3,93;24,4987988303732
3,94;33,9220099868251
3,95;29,3197684707086
3,96;24,2318000425346
3,97;15,3629116644039
3,98;7,63946484487973
3,99;8,83218621176291
4;10,0169575645239
4,01;11,1398456527511
4,02;11,4484099366154
4,03;5,41824140329874
4,04;-0,0129700447200128
4,05;-0,781872823344955
4,06;-1,82290915986534
4,07;-4,98224524995547
4,08;-7,93742409150587
4,09;-9,30343380372607
4,1;-10,7740445764301
4,11;-13,0588746698106
4,12;-15,1833112847228
4,13;-16,0592379086235
4,14;-16,7660668386446
4,15;-16,1575867884722
4,16;-15,1386991442454
4,17;-10,9290419191604
4,18;-7,09088690061389
4,19;-6,13823532188281
4,2;-3,88972924335126
4,21;8,41654807055353
4,22;19,7468877963925
4,23;23,5061470203332
4,24;26,387237873683
4,25;22,4557174398946
4,26;18,2408070610846
4,27;11,8290190743246
4,28;6,04459133557989
4,29;5,12354603223451
4,3;4,48241524025775
4,31;6,01122001931157
4,32;7,45665434934294
4,33;8,25578955747169
4,34;8,70913420338217
4,35;6,48186312336349
4,36;4,19664701842743
4,37;1,4622331561971
4,38;-1,16908276267568
4,39;-3,00116932578343
4,4;-5,04173663002385
4,41;-8,69847514968983
4,42;-12,2681842660527
4,43;-15,1632295465113
4,44;-17,8211395461111
4,45;-18,6407444197689
4,46;-19,2114292578756
4,47;-17,8524519400674
4,48;-16,3154790285048
4,49;-13,3986599328911
4,5;-10,427466859343
4,51;-7,03475927305217
4,52;-3,12936631379577
4,53;4,75043376745168
4,54;12,5889109592043
4,55;20,1070474605059
4,56;26,7522596288473
4,57;26,6304429937153
4,58;25,5656636306097
4,59;17,1909082480659
4,6;9,57351126428485
4,61;7,82726015802513
4,62;6,56504143774473
4,63;9,05510796606681
4,64;11,3713915864936
4,65;12,3404863397596
4,66;12,7254849686293
4,67;8,58249056478729
4,68;4,3865260030088
4,69;-0,220070466863799
4,7;-4,36813191883257
4,71;-4,96156720630858
4,72;-5,5881779806075
4,73;-6,47196966558428
4,74;-7,41013281449934
4,75;-8,77019805869066
4,76;-10,1413309197919
4,77;-11,5984065617062
4,78;-13,0313523230967
4,79;-14,2767877281421
4,8;-15,4040862816576
4,81;-15,6126917234194
4,82;-15,4968011871072
4,83;-12,8562415137998
4,84;-10,339142070471
4,85;-8,78259762117733
4,86;-6,27212993503747
4,87;3,66371877789073
4,88;13,6188826090097
4,89;23,7243961816882
4,9;32,1678724229334
4,91;27,6739759385616
4,92;22,8411033722569
4,93;15,3696258637067
4,94;8,48174776831867
4,95;6,13663353720738
4,96;4,33198194947657
4,97;6,73431568589283
4,98;8,87252803425072
4,99;8,9548077164102
5;8,82424203004915
5,01;7,03687850084256
5,02;5,24517921716655
5,03;3,41973022730098
5,04;1,68507436579672
5,05;0,657156265440394
5,06;-0,516990394209357
5,07;-2,82938668212909
5,08;-5,08310176241218
5,09;-6,88003970491834
5,1;-8,64778210526777
5,11;-10,1882651031599
5,12;-11,8055794627625
5,13;-14,0209525690797
5,14;-15,9648503653922
5,15;-15,7971054482189
5,16;-15,5932500085463
5,17;-15,1086484072301
5,18;-14,5733439188367
5,19;-13,6441286898892
5,2;-12,3580368872917
5,21;-8,30071028307512
5,22;-3,28947696635217
5,23;9,12371339849429
5,24;21,1925714429552
5,25;30,5895402845013
5,26;37,4797571501126
5,27;24,9185221990933
5,28;13,315795343092
5,29;9,15073053138252
5,3;5,59018164304957
5,31;6,72044878629989
5,32;7,83965833014901
5,33;8,87306506461483
5,34;9,68873723642829
5,35;8,8148711551905
5,36;7,74505800656179
5,37;5,15476936749134
5,38;2,43488807603382
5,39;-1,29058342054556
5,4;-4,74532062094769
5,41;-6,09926158469089
5,42;-7,52443070988999
5,43;-9,50230355840213
5,44;-11,3358545145482
5,45;-12,0495219072794
5,46;-12,8811572952212
5,47;-14,6281799240041
5,48;-16,1923365725206
5,49;-16,3375220431016
5,5;-16,2332625707156
5,51;-14,1934042294972
5,52;-12,1720022933541
5,53;-10,29381511379
5,54;-8,59180263818677
5,55;-8,2568395549198
5,56;-5,86428003428401
5,57;12,4944533813196
5,58;29,0534294396625
5,59;31,6469658166175
5,6;32,8609140438874
5,61;23,3697774929908
5,62;14,0617169901199
5,63;6,17425771201316
5,64;-0,793110696342864
5,65;-0,62092026856259
5,66;0,0603791154198339
5,67;4,69217237599747
5,68;8,68970911968416
5,69;7,76565402019752
5,7;6,87762948977711
5,71;6,26918861377003
5,72;5,37808505571796
5,73;2,29362547640477
5,74;-0,509499514192411
5,75;-1,12851947996756
5,76;-2,00270812870379
5,77;-4,8593023299722
5,78;-7,44846999459404
5,79;-7,95899631389713
5,8;-8,73401292910316
5,81;-11,566340045726
5,82;-14,1569547010586
5,83;-14,8660687757651
5,84;-15,4045763324015
5,85;-14,6150751422153
5,86;-13,8427073233062
5,87;-13,2037064306666
5,88;-12,288234244277
5,89;-9,22069717496066
5,9;-5,7468620050056
5,91;0,889615703806215
5,92;7,92395627745462
5,93;18,0552791381796
5,94;27,5078454478412
5,95;31,6769404872119
5,96;33,7719406756379
5,97;19,722094026488
5,98;6,99039669706245
5,99;4,51923247052871
6;2,79928337264587
6,01;6,9268263452135
6,02;10,57533003462
6,03;10,4949705756968
6,04;10,3074477752787
6,05;9,28576074448716
6,06;8,16437584318913
6,07;6,26693827070853
6,08;4,46711040823717
6,09;3,42708088247959
6,1;1,94812218587522
6,11;-2,94748075563088
6,12;-7,41675665801269
6,13;-8,56748387084821
6,14;-9,75711308351368
6,15;-11,2493374916115
6,16;-12,6004107524783
6,17;-12,8540852483034
6,18;-13,0956826150418
6,19;-13,2434754312038
6,2;-13,3411196291445
6,21;-13,0492533266541
6,22;-12,6284302487963
6,23;-11,2059839978808
6,24;-9,98966920748373
6,25;-10,3744028843939
6,26;-9,79304069876248
6,27;-1,70789284109072
6,28;6,8941616900321
6,29;19,5110940821525
6,3;30,513014108303
6,31;28,9709339768879
6,32;26,6489071219021
6,33;18,2733258574182
6,34;10,2757692775353
6,35;5,21225027652463
6,36;1,1280391194732
6,37;4,64472317480407
6,38;7,84044486534631
6,39;8,54501801979527
6,4;8,93865384912133
6,41;6,91895046091009
6,42;5,03826829060584
6,43;4,23659893139812
6,44;3,34475336023066
6,45;1,75300536103824
6,46;0,116277723221761
6,47;-1,86955925950247
6,48;-3,81094410980544
6,49;-5,40731385315374
6,5;-6,93870914628469
6,51;-7,96580541780032
6,52;-9,04639079072686
6,53;-10,5421316812287
6,54;-11,9106876568407
6,55;-12,2920982555951
6,56;-12,6735230590565
6,57;-13,05505811231
6,58;-13,365431395534
6,59;-13,1234827909501
6,6;-12,6985630349935
6,61;-10,8535131769028
6,62;-8,49218558613377
6,63;-2,12376975360972
6,64;4,07720159698382
6,65;8,97855304886109
6,66;14,3850957048683
6,67;23,7126785410261
6,68;31,5954405371995
6,69;28,2642294471164
6,7;24,1490941288675
6,71;13,9495330097806
6,72;5,17714324712833
