Hastighet; Kraft
0,0;1,0
0,050;0,802
0,100;0,657
0,150;0,547
0,200;0,460
0,250;0,390
0,300;0,332
0,350;0,283
0,400;0,242
0,450;0,207
0,500;0,176
0,550;0,148
0,600;0,124
0,650;0,103
0,700;0,084
0,750;0,066
0,800;0,051
0,850;0,036
0,900;0,023
0,950;0,011
1,0;0,0
