time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1675158076859511600,2.602511474609375,0,1.0790696144104004,11.084827423095703,24,0,0,61.20000076293945,18.1258759,59.2867968
1675158077886573800,3.62957373046875,0,0.3099506199359894,11.986347198486328,24,0.06420308351516724,0,61.20000076293945,18.1258999,59.2867908
1675158078863014700,4.6060146484375,0,0.24074852466583252,11.89176082611084,24,0.3779934346675873,60.10564041137695,61.20000076293945,18.1259337,59.286804
1675158079874669300,5.61766943359375,0,0.20089349150657654,15.724205017089844,21,0.40030550956726074,66.15768432617188,61.20000076293945,18.1259426,59.2868047
1675158080899659800,6.64265966796875,0,20,14.090301513671875,16.570999145507812,0.28321531414985657,159.53872680664062,61.20000076293945,18.1259393,59.286796
1675158081887197000,7.630197021484375,0,0.23601257801055908,11.215338706970215,14.28499984741211,0.49923503398895264,154.8842315673828,61.20000076293945,18.1259466,59.2867889
1675158082908605700,8.651605712890625,0,0.21599262952804565,5.266587734222412,12,0.40152788162231445,128.6021728515625,61.8079896807499,18.125956,59.2867905
1675158083897183500,9.64018359375,0,0.1766698956489563,5.29989767074585,9.71399974822998,0.4539332091808319,110.75552368164062,61.83737068656754,18.1259683,59.2867911
1675158084895693600,10.638693603515625,0,0.18601544201374054,3.0363261699676514,8.333000183105469,0.47019121050834656,88.28275299072266,61.714636451961226,18.1259788,59.2867956
1675158085939217200,11.682217041015624,0,0.18537460267543793,2.9268343448638916,7.199999809265137,0.40932604670524597,75.69336700439453,61.865962204659695,18.1259825,59.2867988
1675158086926599400,12.669599365234374,0,0.16158947348594666,2.8990447521209717,6.665999889373779,0.15688328444957733,33.947139739990234,61.96531653765982,18.1259739,59.2868026
1675158087917522400,13.6605224609375,0,0.16300904750823975,2.9175801277160645,6.333000183105469,0.20905311405658722,322.7402648925781,62.05569753829268,18.1259604,59.286805
1675158088910006500,14.653006591796874,0,0.16326981782913208,6.579970836639404,6,0.33470743894577026,304.9731750488281,62.45721974350617,18.1259485,59.2868074
1675158089901227300,15.644227294921874,0,0.1803714781999588,5.90021276473999,6,0.41788414120674133,303.9775390625,62.414873936457155,18.125939,59.2868105
1675158090911947300,16.654947265625,0,0.10684923082590103,5.967678070068359,6,0.38803231716156006,303.615234375,61.30000305175781,18.1259344,59.286812
1675158091937336000,17.680336181640627,0,0.1821829229593277,5.483834266662598,6,0.22692592442035675,303.32415771484375,62.385541965569715,18.1259315,59.2868129
1675158092908542000,18.6515419921875,0,0.16416561603546143,4.556571960449219,6,0.152774378657341,303.2012939453125,61.86313462848763,18.1259326,59.2868125
1675158093911772700,19.654772705078123,0,0.15391065180301666,5.3261542320251465,6,0.09802357107400894,0,61.90790088676749,18.1259333,59.2868122
1675158094900123000,20.643122802734375,0,0.1558629870414734,9.205501556396484,6,0.059876948595047,0,61.20000076293945,18.125934,59.286812
1675158095897154600,21.640154541015626,0,0.1595364212989807,9.450968742370605,6,0.03461793065071106,0,61.20000076293945,18.1259345,59.2868118
1675158096925753000,22.668753173828126,0,0.1577361673116684,9.962686538696289,6,0.010443109087646008,0,61.20000076293945,18.125935,59.2868117
1675158097897875500,23.64087548828125,0,0.16166605055332184,12.999024391174316,6,0.004187021870166063,0,61.20000076293945,18.1259352,59.2868116
1675158098915526700,24.658526611328124,0,0.16215287148952484,11.175079345703125,6,0.0009056636481545866,0,61.20000076293945,18.1259354,59.2868115
1675158099908030500,25.651030517578125,0,0.16300085186958313,7.62037992477417,6,0.0006131012341938913,0,61.20000076293945,18.1259354,59.2868115
1675158100920891000,26.663890869140626,0,0.1459481567144394,5.060555458068848,6,0.0011571301147341728,0,61.093258021638334,18.1259355,59.2868115
1675158101939816200,27.682816162109376,0,0.14710694551467896,4.990377426147461,6,0.0009666886180639267,0,60.99802057783607,18.1259355,59.2868115
1675158102910453500,28.65345361328125,0,0.15150193870067596,3.045121669769287,6,0.0007334116380661726,0,60.90548809225247,18.1259355,59.2868115
1675158103922944000,29.665944091796874,0,0.18288324773311615,2.9166316986083984,6,0.0005207286449149251,0,60.995481632602946,18.1259355,59.2868115
1675158104892266200,30.635266357421877,0,20,2.9326353073120117,6,0.7442667484283447,89.88312530517578,61.01584029975547,18.1259839,59.2868116
1675158105908479700,31.651479736328124,0,0.13095569610595703,2.7412819862365723,6,0.9472886323928833,89.87568664550781,62.694165829138456,18.1260107,59.2868116
1675158106927649300,32.67064916992187,0,20,5.822760105133057,6,0.5789961814880371,64.63435363769531,61.52734953014081,18.1260171,59.2868218
1675158107905757000,33.6487568359375,72.63553619384766,0.3420194685459137,8.273298263549805,6,0.7733497023582458,21.61617660522461,61.30000305175781,18.1260028,59.2868313
1675158108900977700,34.64397778320313,10,0.15542571246623993,5.155463695526123,6,0.6405543684959412,24.813705444335938,61.87376177041182,18.1259949,59.2868399
1675158109905582600,35.64858251953125,14.099020957946777,0.23650124669075012,4.52247953414917,6,0.5551589727401733,25.853939056396484,61.82571541372131,18.1259954,59.2868481
1675158110905936000,36.648935791015624,28.595714569091797,0.301992803812027,5.077496528625488,6,0.8326466679573059,21.9251708984375,62.153205050313375,18.1259957,59.2868574
1675158111934346000,37.67734594726563,10,0.2200072854757309,9.127102851867676,6.254000186920166,1.098293662071228,18.153724670410156,61.20000076293945,18.1259986,59.2868696
1675158112918715400,38.66171533203125,13.946626663208008,0.23620754480361938,9.362284660339355,5.9679999351501465,0.9674784541130066,20.790483474731445,61.20000076293945,18.1260037,59.286885
