Tid;Hastighet
0,;0,8446060353617294
0,01;0,8087911003720714
0,02;0,6675150212156857
0,03;0,06595701756405614
0,04;0,06863630851753519
0,05;0,08873383958099766
0,06;0,08998980114831645
0,07;0,06895771898759559
0,08;0,06943677997971127
0,09;0,06160096298939626
0,1;0,38673072435770744
0,11;0,04485963032378311
0,12;0,06662314101225893
0,13;0,3613657919888326
0,14;0,3316650091297715
0,15;0,3406969731633573
0,16;0,13667649928476577
0,17;0,0688084314887671
0,18;0,18143050249139714
0,19;0,6626530421103415
0,2;0,6418050612520012
0,21;0,7623193461120434
0,22;1,1684532696207903
0,23;1,2908616123975831
0,24;0,9272357651732454
0,25;0,9399111575484098
0,26;1,9994327605423152
0,27;2,892703620427678
0,28;1,6012544050392643
0,29;1,288053773195179
0,3;1,6289997152446374
0,31;1,6343094681788122
0,32;1,7715112783452986
0,33;1,911699809479366
0,34;2,400071564698909
0,35000000000000003;3,6149321237946044
0,36;3,9657477736912403
0,37;4,146796591622012
0,38;4,366571116840795
0,39;6,006577660008483
0,4;5,859234194837858
0,41000000000000003;4,8756377782753875
0,42;4,056640957739404
0,43;4,225221886559881
0,44;4,411543737149848
0,45;4,810786882421573
0,46;5,151379905267069
0,47000000000000003;5,7665289458558195
0,48;5,799937900931617
0,49;5,7730535368970015
0,5;5,635550752207408
0,51;1,7546736365868085
0,52;0,
0,53;0,06028630225235441
0,54;0,7123190624003398
0,55;2,015623696883424
0,56;2,054452761249989
0,5700000000000001;2,704066290183293
0,58;2,3971586972892664
0,59;2,376656221825255
0,6;3,3850672362245153
0,61;4,9267081409577935
0,62;4,99532335939478
0,63;4,9811572314306245
0,64;5,115033729637444
0,65;5,9703611639606144
0,66;6,251717264117722
0,67;5,8256169928688335
0,68;4,92172542585169
0,6900000000000001;5,495026629891308
0,7000000000000001;6,184378963396912
0,71;6,367068529781071
0,72;6,077813567688037
0,73;5,858063666897512
0,74;5,708983780553193
0,75;3,9350107362119
0,76;3,9418474768310805
0,77;3,98745882442981
0,78;3,7413862535882907
0,79;3,535209483120997
0,8;3,5293801016553874
0,81;3,5959877549073784
0,8200000000000001;3,9406130323237463
0,8300000000000001;4,981126207667553
0,84;5,819715721176278
0,85;6,120722460861587
0,86;6,4612135977326055
0,87;6,561693096209919
0,88;6,43240341919031
0,89;6,666661642864836
0,9;6,661149395574929
0,91;6,615637816285268
0,92;7,5538693135478985
0,93;8,019223292561211
0,9400000000000001;7,376835900180957
0,9500000000000001;3,0847977511802798
0,96;3,198332988788638
0,97;3,6800196412405337
0,98;4,293435010468682
0,99;3,86684533815632
1,;3,884980150533076
1,01;3,8405678536531465
1,02;4,799001102330206
1,03;6,395394874069581
1,04;6,814805573096154
1,05;7,105828758666914
1,06;7,0890660229835
1,07;7,332176215478352
1,08;7,75096902780518
1,09;7,918480868650029
1,1;7,899294797349104
1,11;7,814537179609548
1,12;7,636275347850285
1,1300000000000001;7,453735511148487
1,1400000000000001;7,358207128700886
1,1500000000000001;5,782087451822906
1,16;5,2047938814979275
1,17;5,20473262130161
1,18;5,189951018599542
1,19;5,454065574043892
1,2;6,065277120696633
1,21;6,91103362525358
1,22;7,201519348585822
1,23;6,420554056430971
1,24;7,086531442829852
1,25;7,784931748541999
1,26;8,280254601009492
1,27;9,207047762431971
1,28;9,16787230131141
1,29;8,716249487928929
1,3;8,616887572324588
1,31;8,531180843282822
1,32;8,10267199785113
1,33;7,8548757885568214
1,34;7,771799846328674
1,35;7,40861504509271
1,36;6,621401252653531
1,37;6,722452870050165
1,3800000000000001;6,571872570117939
1,3900000000000001;6,317834203873731
1,4000000000000001;6,183471588477624
1,41;5,936887128507889
1,42;6,07503022075097
1,43;8,378309629491518
1,44;8,300423900435716
1,45;8,22725917333832
1,46;8,316185734314681
1,47;6,758589889012892
1,48;7,204811489471768
1,49;9,189757054453334
1,5;9,285673808365972
1,51;9,306422791492151
1,52;9,231216467333493
1,53;8,830934275459711
1,54;8,240416109512202
1,55;8,165813871510187
1,56;8,1944838550734
1,57;8,29105001650323
1,58;6,9957880771683625
1,59;6,7033465945384645
1,6;6,667583060227252
1,61;7,525984264541345
1,62;9,214111478498264
1,6300000000000001;9,584910466587527
1,6400000000000001;9,545041984032695
1,6500000000000001;9,44694234397355
1,6600000000000001;9,099146321283738
1,67;9,308780005671366
1,68;10,626067167534158
1,69;10,672329805992309
1,7;10,655414806818847
1,71;10,147277523711342
1,72;9,278425848327146
1,73;7,680873153625887
1,74;5,980636905739072
1,75;5,969983545694057
1,76;5,889263127564015
1,77;9,853182787232997
1,78;10,008653807716748
1,79;9,865920733328094
1,8;8,534025918457703
1,81;7,902354461374657
1,82;7,927720341552648
1,83;7,612507405620041
1,84;7,386320103887182
1,85;7,467322641679713
1,86;7,705413556214083
1,87;10,11963992755041
1,8800000000000001;11,066215656454004
1,8900000000000001;11,195438172316564
1,9000000000000001;11,130890082763374
1,9100000000000001;10,53929458350442
1,92;9,692255062438592
1,93;8,310194195544868
1,94;7,006205031816832
1,95;6,726758669209426
1,96;6,842538490237161
1,97;7,4940447595637645
1,98;9,09680886623546
1,99;9,335645265666345
2,;8,794505378349633
2,0100000000000002;9,945838081738115
2,02;10,864123635051214
2,0300000000000002;11,28937208842317
2,04;11,356067327201965
2,05;10,445922122755471
2,06;10,872796201347708
2,07;11,321128898294056
2,08;11,306949701382017
2,09;11,149259054310042
2,1;10,76915569680175
2,11;10,66736662170595
2,12;10,58827245857711
2,13;8,51680117951439
2,14;8,42730773883005
2,15;8,401001528295582
2,16;8,389408822171498
2,17;8,333545791176968
2,18;8,09204232624532
2,19;8,068538357026355
2,2;8,495676511550796
2,21;8,336347956804206
2,22;8,165177368610157
2,23;9,078949296412063
2,24;9,189964491978127
2,25;9,168827860892064
2,2600000000000002;9,267257362754732
2,27;9,65307047232999
2,2800000000000002;10,683923623930882
2,29;11,124901899819145
2,3000000000000003;11,092815564286793
2,31;11,136254843417433
2,32;11,165605269705226
2,33;10,496570643319298
2,34;7,606981610169086
2,35;7,205261615131098
2,36;7,224126868589533
2,37;7,76889106493535
2,38;8,716252646224971
2,39;9,448373103709184
2,4;9,87324849260204
2,41;10,965799282620091
2,42;11,039213066528909
2,43;11,074647573231978
2,44;10,823497987748791
2,45;9,132075475592787
2,46;9,230358398373149
2,47;9,151487884307166
2,48;11,307130721178668
2,49;11,615223666280349
2,5;11,541577342385265
2,5100000000000002;11,501987395807506
2,52;11,516012847941242
2,5300000000000002;10,917422191896998
2,54;10,490807742542621
2,5500000000000003;7,0641985577861135
2,56;7,251730972440935
2,57;7,413467069814957
2,58;8,369159470541565
2,59;9,570068216378052
2,6;10,834943596339103
2,61;11,011663610986375
2,62;11,007093216210807
2,63;8,573045582510334
2,64;8,574393975135996
2,65;8,98983111129913
2,66;9,358158018054047
2,67;9,431691089200587
2,68;11,99830945660285
2,69;12,014257051395248
2,7;11,819801455548186
2,71;11,753640208251175
2,72;11,736959564333738
2,73;11,67122219662804
2,74;10,584476901547813
2,75;9,977684574501591
2,7600000000000002;9,65317880883053
2,77;9,671276976835944
2,7800000000000002;9,673416878179571
2,79;9,763770791256121
2,8000000000000003;9,094165613973052
2,81;8,922605592639087
2,82;9,75398596722314
2,83;8,938828248044315
2,84;8,492342029932814
2,85;8,47368651846694
2,86;8,729518890946627
2,87;9,338752904955545
2,88;10,910600379290866
2,89;11,683917090988777
2,9;12,226346667575486
2,91;13,241257629807082
2,92;13,44303119353997
2,93;12,985215024173305
2,94;10,256259499659894
2,95;9,350183282021366
2,96;9,709613328935967
2,97;8,628359189711027
2,98;8,219079683617872
2,99;8,656983825040747
3,;9,602776232893847
3,0100000000000002;9,902243492634277
3,02;9,887497072054785
3,0300000000000002;10,058341212372262
3,04;9,999469852824387
3,0500000000000003;11,816285306676379
3,06;11,849623373838607
3,0700000000000003;11,87695677616009
3,08;11,727452195810905
3,09;11,820258421147255
3,1;12,00848844752876
3,11;11,995755569296481
3,12;11,921342469442024
3,13;11,951514482463777
3,14;12,036514973848016
3,15;8,895155798970068
3,16;8,40006276963858
3,17;8,365490010304448
3,18;9,183229202332658
3,19;9,932397217535234
3,2;10,587282770855069
3,21;10,122139316588703
3,22;10,144566693441638
